times,gctimes,memory,allocs
5516.833,0.0,2368,51
5693.287,0.0,2368,51
5617.246,0.0,2368,51
5727.227,0.0,2368,51
5701.77,0.0,2368,51
5701.259,0.0,2368,51
5778.128,0.0,2368,51
5743.184,0.0,2368,51
5679.963,0.0,2368,51
5678.108,0.0,2368,51
5646.327,0.0,2368,51
5633.927,0.0,2368,51
5633.272,0.0,2368,51
5968.161,0.0,2368,51
6015.149,0.0,2368,51
6046.942,0.0,2368,51
6132.258,0.0,2368,51
6035.895,0.0,2368,51
6042.261,0.0,2368,51
6035.326,0.0,2368,51
6054.314,0.0,2368,51
6142.736,0.0,2368,51
6212.384,0.0,2368,51
6301.577,0.0,2368,51
6728.946,0.0,2368,51
6741.692,0.0,2368,51
6836.344,0.0,2368,51
6898.946,0.0,2368,51
6757.17,0.0,2368,51
7135.091,0.0,2368,51
7222.65,0.0,2368,51
7309.426,0.0,2368,51
7068.002,0.0,2368,51
6869.125,0.0,2368,51
6871.836,0.0,2368,51
6924.16,0.0,2368,51
6826.974,0.0,2368,51
6832.459,0.0,2368,51
6744.822,0.0,2368,51
6817.673,0.0,2368,51
6984.877,0.0,2368,51
6813.223,0.0,2368,51
6814.693,0.0,2368,51
6814.534,0.0,2368,51
6817.904,0.0,2368,51
6860.94,0.0,2368,51
6826.622,0.0,2368,51
28565.02,21841.963,2368,51
5359.851,0.0,2368,51
5414.719,0.0,2368,51
5295.02,0.0,2368,51
5289.331,0.0,2368,51
5383.291,0.0,2368,51
5336.159,0.0,2368,51
5449.679,0.0,2368,51
5363.806,0.0,2368,51
5426.206,0.0,2368,51
5468.367,0.0,2368,51
5486.586,0.0,2368,51
5420.152,0.0,2368,51
5577.98,0.0,2368,51
5528.963,0.0,2368,51
5415.237,0.0,2368,51
5345.144,0.0,2368,51
5258.373,0.0,2368,51
5267.843,0.0,2368,51
5285.708,0.0,2368,51
5260.122,0.0,2368,51
5264.992,0.0,2368,51
5313.706,0.0,2368,51
5320.631,0.0,2368,51
5255.374,0.0,2368,51
5532.121,0.0,2368,51
5596.514,0.0,2368,51
5389.898,0.0,2368,51
5504.48,0.0,2368,51
5418.999,0.0,2368,51
18174.845,12756.806,2368,51
5605.288,0.0,2368,51
5348.781,0.0,2368,51
5656.63,0.0,2368,51
5740.565,0.0,2368,51
5809.108,0.0,2368,51
5763.81,0.0,2368,51
5772.483,0.0,2368,51
5747.388,0.0,2368,51
5809.773,0.0,2368,51
6111.919,0.0,2368,51
6034.584,0.0,2368,51
6090.913,0.0,2368,51
5892.149,0.0,2368,51
5984.026,0.0,2368,51
5558.387,0.0,2368,51
5875.479,0.0,2368,51
5642.161,0.0,2368,51
5685.845,0.0,2368,51
5593.102,0.0,2368,51
5397.157,0.0,2368,51
5567.553,0.0,2368,51
5357.753,0.0,2368,51
5354.72,0.0,2368,51
5516.774,0.0,2368,51
5393.824,0.0,2368,51
13390.409,7946.139,2368,51
5359.242,0.0,2368,51
5327.387,0.0,2368,51
5318.602,0.0,2368,51
5425.181,0.0,2368,51
5531.091,0.0,2368,51
5460.297,0.0,2368,51
5488.093,0.0,2368,51
5326.821,0.0,2368,51
5294.158,0.0,2368,51
5428.944,0.0,2368,51
5351.072,0.0,2368,51
5474.442,0.0,2368,51
5278.653,0.0,2368,51
5269.069,0.0,2368,51
5309.502,0.0,2368,51
5314.103,0.0,2368,51
5351.77,0.0,2368,51
5324.484,0.0,2368,51
5278.756,0.0,2368,51
5343.701,0.0,2368,51
5305.62,0.0,2368,51
5396.572,0.0,2368,51
5422.629,0.0,2368,51
13233.4,7741.327,2368,51
5401.888,0.0,2368,51
5425.654,0.0,2368,51
5470.779,0.0,2368,51
5346.346,0.0,2368,51
5274.139,0.0,2368,51
5658.57,0.0,2368,51
5364.348,0.0,2368,51
5418.432,0.0,2368,51
5415.481,0.0,2368,51
5271.969,0.0,2368,51
5275.958,0.0,2368,51
5319.134,0.0,2368,51
5430.225,0.0,2368,51
5461.693,0.0,2368,51
5309.324,0.0,2368,51
5293.997,0.0,2368,51
5293.33,0.0,2368,51
5276.258,0.0,2368,51
5248.595,0.0,2368,51
5268.281,0.0,2368,51
5254.97,0.0,2368,51
5263.559,0.0,2368,51
12416.093,7110.253,2368,51
5283.1,0.0,2368,51
5238.135,0.0,2368,51
5259.67,0.0,2368,51
5293.001,0.0,2368,51
5386.663,0.0,2368,51
5390.024,0.0,2368,51
5597.205,0.0,2368,51
5308.867,0.0,2368,51
5365.146,0.0,2368,51
5595.043,0.0,2368,51
5463.259,0.0,2368,51
5370.943,0.0,2368,51
5558.597,0.0,2368,51
5407.393,0.0,2368,51
5504.053,0.0,2368,51
5429.086,0.0,2368,51
5350.824,0.0,2368,51
5276.781,0.0,2368,51
5253.187,0.0,2368,51
12473.251,7123.284,2368,51
5318.705,0.0,2368,51
5309.059,0.0,2368,51
5288.861,0.0,2368,51
5312.291,0.0,2368,51
5351.315,0.0,2368,51
5309.255,0.0,2368,51
5294.986,0.0,2368,51
5318.513,0.0,2368,51
5527.175,0.0,2368,51
5373.914,0.0,2368,51
5488.977,0.0,2368,51
5351.483,0.0,2368,51
5368.269,0.0,2368,51
