times,gctimes,memory,allocs
4.207048017e6,482936.148,4249728,22974
4.202315254e6,438032.771,4249728,22974
4.163036984e6,430578.698,4249728,22974
4.185919053e6,435304.747,4249728,22974
4.177611546e6,432035.265,4249728,22974
4.219045666e6,436103.157,4249728,22974
4.212658884e6,433915.121,4249728,22974
4.21988861e6,433075.853,4249728,22974
4.207961413e6,435970.647,4249728,22974
4.2243794e6,436824.154,4249728,22974
4.219665157e6,434985.045,4249728,22974
4.23984682e6,438166.34,4249728,22974
4.212655512e6,432352.571,4249728,22974
4.225869507e6,441231.393,4249728,22974
4.199722869e6,431973.362,4249728,22974
4.215140473e6,438327.316,4249728,22974
4.201233041e6,433772.009,4249728,22974
4.203936801e6,433021.286,4249728,22974
4.21142339e6,432262.979,4249728,22974
4.19112039e6,430381.116,4249728,22974
4.209503375e6,439483.644,4249728,22974
4.18231227e6,430934.469,4249728,22974
