times,gctimes,bytes,allocs
2.8663000000000004e-6,0.0,2576.0,19.0
3.0979000000000004e-6,0.0,2576.0,19.0
3.0737e-6,0.0,2576.0,19.0
2.5332e-6,0.0,2576.0,19.0
2.9015e-6,0.0,2576.0,19.0
2.5312e-6,0.0,2576.0,19.0
2.8928e-6,0.0,2576.0,19.0
2.2854e-6,0.0,2576.0,19.0
2.8846000000000003e-6,0.0,2576.0,19.0
5.165500000000001e-6,0.0,2576.0,19.0
2.6702000000000003e-6,0.0,2576.0,19.0
2.8577e-6,0.0,2576.0,19.0
2.9302000000000003e-6,0.0,2576.0,19.0
2.7792e-6,0.0,2576.0,19.0
2.6791000000000003e-6,0.0,2576.0,19.0
2.8159000000000004e-6,0.0,2576.0,19.0
2.9517e-6,0.0,2576.0,19.0
2.6470000000000002e-6,0.0,2576.0,19.0
2.7943000000000005e-6,0.0,2576.0,19.0
2.8802000000000004e-6,0.0,2576.0,19.0
3.0284000000000005e-6,0.0,2576.0,19.0
2.3959000000000002e-6,0.0,2576.0,19.0
3.4845000000000003e-6,0.0,2576.0,19.0
2.4091e-6,0.0,2576.0,19.0
2.8767e-6,0.0,2576.0,19.0
2.5671000000000004e-6,0.0,2576.0,19.0
3.1325e-6,0.0,2576.0,19.0
2.5211000000000003e-6,0.0,2576.0,19.0
2.8916000000000004e-6,0.0,2576.0,19.0
3.0355000000000004e-6,0.0,2576.0,19.0
2.5992e-6,0.0,2576.0,19.0
2.6312000000000003e-6,0.0,2576.0,19.0
2.9007e-6,0.0,2576.0,19.0
2.9155000000000003e-6,0.0,2576.0,19.0
2.8122000000000004e-6,0.0,2576.0,19.0
2.6193e-6,0.0,2576.0,19.0
3.0853000000000003e-6,0.0,2576.0,19.0
2.6614000000000005e-6,0.0,2576.0,19.0
2.6083e-6,0.0,2576.0,19.0
2.7903e-6,0.0,2576.0,19.0
3.1391000000000006e-6,0.0,2576.0,19.0
2.5179e-6,0.0,2576.0,19.0
3.1784e-6,0.0,2576.0,19.0
2.645e-6,0.0,2576.0,19.0
3.0709e-6,0.0,2576.0,19.0
2.4558000000000003e-6,0.0,2576.0,19.0
3.0034e-6,0.0,2576.0,19.0
3.7089e-6,0.0,2576.0,19.0
