times,gctimes,memory,allocs
2.13730182e6,172602.675,1088656,20006
2.1038893e6,175515.721,1088656,20006
2.100554811e6,169611.072,1088656,20006
2.105777294e6,177402.046,1088656,20006
2.088149269e6,168705.382,1088656,20006
2.109871545e6,181671.907,1088656,20006
2.083124317e6,168487.036,1088656,20006
2.101289124e6,176908.183,1088656,20006
2.096877807e6,174900.768,1088656,20006
2.094529552e6,174972.471,1088656,20006
2.105117906e6,174838.439,1088656,20006
2.104121477e6,169732.25,1088656,20006
2.125781416e6,184724.101,1088656,20006
2.099380705e6,169940.902,1088656,20006
2.09562054e6,173423.089,1088656,20006
2.108849527e6,178664.04,1088656,20006
2.0847909e6,168563.459,1088656,20006
2.102109602e6,179077.623,1088656,20006
2.089407439e6,168543.762,1088656,20006
2.093004406e6,174339.086,1088656,20006
2.086030084e6,168606.923,1088656,20006
2.102689326e6,178643.341,1088656,20006
2.085394381e6,173451.311,1088656,20006
2.077650876e6,167732.03,1088656,20006
2.088545065e6,173488.4,1088656,20006
2.204526565e6,180107.126,1088656,20006
2.093896855e6,168315.941,1088656,20006
2.081648696e6,172742.095,1088656,20006
2.084121483e6,171577.683,1088656,20006
2.085378337e6,173263.221,1088656,20006
2.076287256e6,167717.846,1088656,20006
2.08870186e6,173229.29,1088656,20006
2.090160232e6,167274.629,1088656,20006
2.135558705e6,187645.772,1088656,20006
2.111800336e6,173377.951,1088656,20006
2.080169888e6,172267.414,1088656,20006
2.074526829e6,167856.012,1088656,20006
2.087690703e6,176656.643,1088656,20006
2.083435589e6,173551.861,1088656,20006
2.084115865e6,173487.617,1088656,20006
2.074434064e6,167909.181,1088656,20006
2.090828644e6,173527.445,1088656,20006
2.08467282e6,170591.227,1088656,20006
2.085339271e6,173314.968,1088656,20006
2.089517964e6,168996.676,1088656,20006
2.096601386e6,174250.322,1088656,20006
2.09981262e6,169346.013,1088656,20006
2.095576413e6,173177.566,1088656,20006
