times,gctimes,memory,allocs
89.839,0.0,0,0
93.657,0.0,0,0
90.269,0.0,0,0
89.452,0.0,0,0
89.054,0.0,0,0
96.404,0.0,0,0
88.725,0.0,0,0
88.68,0.0,0,0
89.687,0.0,0,0
89.538,0.0,0,0
88.907,0.0,0,0
89.545,0.0,0,0
89.527,0.0,0,0
88.909,0.0,0,0
89.09,0.0,0,0
89.632,0.0,0,0
90.137,0.0,0,0
89.0,0.0,0,0
88.545,0.0,0,0
88.755,0.0,0,0
89.391,0.0,0,0
89.543,0.0,0,0
89.611,0.0,0,0
89.088,0.0,0,0
92.401,0.0,0,0
88.929,0.0,0,0
89.636,0.0,0,0
89.66,0.0,0,0
88.367,0.0,0,0
88.919,0.0,0,0
89.646,0.0,0,0
89.608,0.0,0,0
90.496,0.0,0,0
89.722,0.0,0,0
89.581,0.0,0,0
88.961,0.0,0,0
89.83,0.0,0,0
89.612,0.0,0,0
89.047,0.0,0,0
89.102,0.0,0,0
89.535,0.0,0,0
88.72,0.0,0,0
88.949,0.0,0,0
90.176,0.0,0,0
89.107,0.0,0,0
89.565,0.0,0,0
90.982,0.0,0,0
89.189,0.0,0,0
88.847,0.0,0,0
94.3,0.0,0,0
90.72,0.0,0,0
89.022,0.0,0,0
88.568,0.0,0,0
88.453,0.0,0,0
89.655,0.0,0,0
88.884,0.0,0,0
90.082,0.0,0,0
90.017,0.0,0,0
89.362,0.0,0,0
89.683,0.0,0,0
89.636,0.0,0,0
89.684,0.0,0,0
89.045,0.0,0,0
88.833,0.0,0,0
89.691,0.0,0,0
89.595,0.0,0,0
89.528,0.0,0,0
90.365,0.0,0,0
89.331,0.0,0,0
89.074,0.0,0,0
89.669,0.0,0,0
92.282,0.0,0,0
89.784,0.0,0,0
89.619,0.0,0,0
89.819,0.0,0,0
89.02,0.0,0,0
89.683,0.0,0,0
89.26,0.0,0,0
88.759,0.0,0,0
89.569,0.0,0,0
88.982,0.0,0,0
89.663,0.0,0,0
91.955,0.0,0,0
89.736,0.0,0,0
89.196,0.0,0,0
88.707,0.0,0,0
88.757,0.0,0,0
89.676,0.0,0,0
88.912,0.0,0,0
89.778,0.0,0,0
89.583,0.0,0,0
89.071,0.0,0,0
89.045,0.0,0,0
96.395,0.0,0,0
90.68,0.0,0,0
89.57,0.0,0,0
89.245,0.0,0,0
88.995,0.0,0,0
89.024,0.0,0,0
89.645,0.0,0,0
88.744,0.0,0,0
88.843,0.0,0,0
89.252,0.0,0,0
89.721,0.0,0,0
89.503,0.0,0,0
89.618,0.0,0,0
88.966,0.0,0,0
89.101,0.0,0,0
89.602,0.0,0,0
89.673,0.0,0,0
89.535,0.0,0,0
89.033,0.0,0,0
89.569,0.0,0,0
89.007,0.0,0,0
89.624,0.0,0,0
88.973,0.0,0,0
88.871,0.0,0,0
88.909,0.0,0,0
92.506,0.0,0,0
89.437,0.0,0,0
88.612,0.0,0,0
89.459,0.0,0,0
88.786,0.0,0,0
91.559,0.0,0,0
88.682,0.0,0,0
89.492,0.0,0,0
88.763,0.0,0,0
89.714,0.0,0,0
89.72,0.0,0,0
89.269,0.0,0,0
92.967,0.0,0,0
