times,gctimes,memory,allocs
5459.922,0.0,2368,51
5478.469,0.0,2368,51
5417.785,0.0,2368,51
5600.35,0.0,2368,51
5527.484,0.0,2368,51
5431.04,0.0,2368,51
5510.57,0.0,2368,51
5322.042,0.0,2368,51
5289.764,0.0,2368,51
5333.427,0.0,2368,51
5309.662,0.0,2368,51
5266.931,0.0,2368,51
5268.843,0.0,2368,51
5242.971,0.0,2368,51
5249.133,0.0,2368,51
5345.607,0.0,2368,51
5363.271,0.0,2368,51
5268.747,0.0,2368,51
5307.988,0.0,2368,51
5371.863,0.0,2368,51
5251.734,0.0,2368,51
5280.559,0.0,2368,51
5266.001,0.0,2368,51
5265.149,0.0,2368,51
5441.147,0.0,2368,51
5309.422,0.0,2368,51
6267.462,0.0,2368,51
6759.965,0.0,2368,51
6763.179,0.0,2368,51
6765.775,0.0,2368,51
6881.638,0.0,2368,51
6795.009,0.0,2368,51
6788.112,0.0,2368,51
6852.078,0.0,2368,51
6872.236,0.0,2368,51
6865.98,0.0,2368,51
6791.991,0.0,2368,51
7150.942,0.0,2368,51
7148.315,0.0,2368,51
7106.542,0.0,2368,51
6961.133,0.0,2368,51
6852.925,0.0,2368,51
6869.942,0.0,2368,51
6869.773,0.0,2368,51
6869.233,0.0,2368,51
6884.731,0.0,2368,51
6888.502,0.0,2368,51
6921.076,0.0,2368,51
7059.427,0.0,2368,51
29632.709,22800.52,2368,51
5389.548,0.0,2368,51
5912.026,0.0,2368,51
5721.598,0.0,2368,51
5853.071,0.0,2368,51
5881.017,0.0,2368,51
5810.4,0.0,2368,51
5926.885,0.0,2368,51
5664.445,0.0,2368,51
5662.173,0.0,2368,51
5474.376,0.0,2368,51
5576.642,0.0,2368,51
5579.736,0.0,2368,51
5589.946,0.0,2368,51
5672.743,0.0,2368,51
5460.203,0.0,2368,51
5619.583,0.0,2368,51
5776.253,0.0,2368,51
5448.44,0.0,2368,51
5540.453,0.0,2368,51
5535.419,0.0,2368,51
5704.82,0.0,2368,51
5550.878,0.0,2368,51
5323.139,0.0,2368,51
5314.687,0.0,2368,51
5301.819,0.0,2368,51
5406.383,0.0,2368,51
5341.58,0.0,2368,51
5317.643,0.0,2368,51
5315.037,0.0,2368,51
5332.187,0.0,2368,51
5311.0,0.0,2368,51
5411.318,0.0,2368,51
5324.582,0.0,2368,51
5296.66,0.0,2368,51
18658.944,13221.34,2368,51
5398.628,0.0,2368,51
5348.919,0.0,2368,51
5365.148,0.0,2368,51
5334.825,0.0,2368,51
5326.381,0.0,2368,51
5344.484,0.0,2368,51
5346.93,0.0,2368,51
5321.424,0.0,2368,51
5452.374,0.0,2368,51
5406.888,0.0,2368,51
5421.065,0.0,2368,51
5690.718,0.0,2368,51
5714.097,0.0,2368,51
5724.905,0.0,2368,51
5726.357,0.0,2368,51
5725.157,0.0,2368,51
5721.974,0.0,2368,51
5458.002,0.0,2368,51
5544.593,0.0,2368,51
5509.093,0.0,2368,51
5415.784,0.0,2368,51
5326.181,0.0,2368,51
5312.202,0.0,2368,51
5314.85,0.0,2368,51
5323.254,0.0,2368,51
5306.673,0.0,2368,51
5295.8,0.0,2368,51
5316.321,0.0,2368,51
5299.935,0.0,2368,51
5325.356,0.0,2368,51
13999.391,8410.6,2368,51
5504.62,0.0,2368,51
5329.596,0.0,2368,51
5475.018,0.0,2368,51
5418.828,0.0,2368,51
5320.195,0.0,2368,51
5343.805,0.0,2368,51
5324.369,0.0,2368,51
5359.365,0.0,2368,51
5312.22,0.0,2368,51
5311.256,0.0,2368,51
5376.323,0.0,2368,51
5311.694,0.0,2368,51
5306.554,0.0,2368,51
5599.398,0.0,2368,51
5821.126,0.0,2368,51
5725.337,0.0,2368,51
5695.342,0.0,2368,51
5648.686,0.0,2368,51
5684.149,0.0,2368,51
5611.571,0.0,2368,51
5516.915,0.0,2368,51
5420.167,0.0,2368,51
5408.449,0.0,2368,51
5384.297,0.0,2368,51
5282.399,0.0,2368,51
5290.011,0.0,2368,51
13524.442,8038.673,2368,51
5261.734,0.0,2368,51
5279.438,0.0,2368,51
5263.44,0.0,2368,51
5358.274,0.0,2368,51
5248.409,0.0,2368,51
5280.592,0.0,2368,51
5285.778,0.0,2368,51
5262.579,0.0,2368,51
5767.99,0.0,2368,51
5451.684,0.0,2368,51
5394.655,0.0,2368,51
5406.337,0.0,2368,51
5315.942,0.0,2368,51
5344.313,0.0,2368,51
5337.77,0.0,2368,51
5472.093,0.0,2368,51
5305.868,0.0,2368,51
5287.385,0.0,2368,51
5312.581,0.0,2368,51
5308.319,0.0,2368,51
5269.142,0.0,2368,51
5262.207,0.0,2368,51
5364.927,0.0,2368,51
5583.877,0.0,2368,51
13313.195,7876.729,2368,51
5304.984,0.0,2368,51
5544.892,0.0,2368,51
5467.573,0.0,2368,51
5497.373,0.0,2368,51
5484.399,0.0,2368,51
5389.594,0.0,2368,51
5509.691,0.0,2368,51
5314.61,0.0,2368,51
5323.461,0.0,2368,51
5317.122,0.0,2368,51
5333.398,0.0,2368,51
5304.193,0.0,2368,51
5397.161,0.0,2368,51
5291.441,0.0,2368,51
5307.188,0.0,2368,51
5325.479,0.0,2368,51
