times,gctimes,memory,allocs
98.448,0.0,0,0
95.788,0.0,0,0
91.733,0.0,0,0
93.785,0.0,0,0
90.806,0.0,0,0
90.976,0.0,0,0
91.838,0.0,0,0
90.934,0.0,0,0
90.632,0.0,0,0
91.074,0.0,0,0
91.519,0.0,0,0
92.097,0.0,0,0
91.035,0.0,0,0
90.875,0.0,0,0
90.872,0.0,0,0
90.294,0.0,0,0
90.401,0.0,0,0
91.698,0.0,0,0
90.83,0.0,0,0
90.644,0.0,0,0
94.321,0.0,0,0
90.875,0.0,0,0
91.701,0.0,0,0
91.463,0.0,0,0
90.501,0.0,0,0
90.589,0.0,0,0
90.667,0.0,0,0
117.173,0.0,0,0
98.173,0.0,0,0
97.19,0.0,0,0
97.996,0.0,0,0
98.071,0.0,0,0
98.223,0.0,0,0
97.173,0.0,0,0
102.743,0.0,0,0
98.185,0.0,0,0
96.634,0.0,0,0
98.183,0.0,0,0
107.982,0.0,0,0
90.339,0.0,0,0
90.089,0.0,0,0
90.553,0.0,0,0
90.826,0.0,0,0
90.731,0.0,0,0
91.683,0.0,0,0
90.262,0.0,0,0
91.301,0.0,0,0
90.149,0.0,0,0
90.078,0.0,0,0
92.206,0.0,0,0
90.368,0.0,0,0
91.726,0.0,0,0
90.65,0.0,0,0
90.545,0.0,0,0
91.534,0.0,0,0
90.525,0.0,0,0
90.591,0.0,0,0
90.438,0.0,0,0
91.693,0.0,0,0
91.473,0.0,0,0
92.115,0.0,0,0
90.489,0.0,0,0
94.136,0.0,0,0
92.094,0.0,0,0
90.651,0.0,0,0
91.643,0.0,0,0
91.234,0.0,0,0
91.462,0.0,0,0
91.707,0.0,0,0
112.386,0.0,0,0
98.631,0.0,0,0
97.162,0.0,0,0
97.349,0.0,0,0
97.109,0.0,0,0
96.757,0.0,0,0
98.301,0.0,0,0
98.124,0.0,0,0
97.231,0.0,0,0
96.997,0.0,0,0
96.556,0.0,0,0
105.851,0.0,0,0
91.683,0.0,0,0
91.309,0.0,0,0
90.267,0.0,0,0
91.64,0.0,0,0
96.423,0.0,0,0
94.605,0.0,0,0
91.746,0.0,0,0
92.069,0.0,0,0
94.672,0.0,0,0
90.926,0.0,0,0
91.423,0.0,0,0
91.813,0.0,0,0
90.195,0.0,0,0
90.739,0.0,0,0
90.674,0.0,0,0
90.303,0.0,0,0
90.545,0.0,0,0
90.559,0.0,0,0
90.613,0.0,0,0
90.687,0.0,0,0
91.181,0.0,0,0
90.518,0.0,0,0
91.623,0.0,0,0
90.642,0.0,0,0
90.638,0.0,0,0
90.378,0.0,0,0
90.272,0.0,0,0
90.364,0.0,0,0
90.28,0.0,0,0
89.931,0.0,0,0
112.791,0.0,0,0
96.904,0.0,0,0
97.146,0.0,0,0
97.392,0.0,0,0
97.896,0.0,0,0
97.228,0.0,0,0
98.084,0.0,0,0
97.589,0.0,0,0
96.817,0.0,0,0
96.89,0.0,0,0
96.614,0.0,0,0
106.752,0.0,0,0
91.202,0.0,0,0
91.574,0.0,0,0
90.565,0.0,0,0
91.57,0.0,0,0
92.102,0.0,0,0
91.475,0.0,0,0
90.35,0.0,0,0
90.538,0.0,0,0
91.724,0.0,0,0
90.581,0.0,0,0
90.34,0.0,0,0
90.099,0.0,0,0
90.593,0.0,0,0
93.347,0.0,0,0
96.62,0.0,0,0
90.486,0.0,0,0
91.673,0.0,0,0
90.68,0.0,0,0
90.6,0.0,0,0
90.61,0.0,0,0
91.42,0.0,0,0
91.521,0.0,0,0
90.016,0.0,0,0
90.416,0.0,0,0
90.0,0.0,0,0
90.365,0.0,0,0
90.387,0.0,0,0
91.429,0.0,0,0
91.368,0.0,0,0
91.979,0.0,0,0
95.492,0.0,0,0
113.326,0.0,0,0
96.39,0.0,0,0
96.805,0.0,0,0
96.868,0.0,0,0
98.179,0.0,0,0
97.41,0.0,0,0
97.004,0.0,0,0
97.182,0.0,0,0
96.799,0.0,0,0
101.443,0.0,0,0
96.554,0.0,0,0
104.173,0.0,0,0
90.289,0.0,0,0
91.859,0.0,0,0
90.248,0.0,0,0
90.054,0.0,0,0
91.698,0.0,0,0
92.569,0.0,0,0
90.772,0.0,0,0
90.733,0.0,0,0
90.622,0.0,0,0
90.587,0.0,0,0
90.328,0.0,0,0
91.946,0.0,0,0
91.966,0.0,0,0
91.671,0.0,0,0
91.637,0.0,0,0
90.8,0.0,0,0
90.717,0.0,0,0
91.046,0.0,0,0
90.98,0.0,0,0
92.461,0.0,0,0
90.893,0.0,0,0
90.8,0.0,0,0
95.23,0.0,0,0
90.887,0.0,0,0
90.849,0.0,0,0
90.902,0.0,0,0
90.803,0.0,0,0
90.906,0.0,0,0
91.968,0.0,0,0
90.578,0.0,0,0
116.069,0.0,0,0
96.771,0.0,0,0
96.629,0.0,0,0
99.655,0.0,0,0
97.014,0.0,0,0
96.968,0.0,0,0
97.0,0.0,0,0
98.115,0.0,0,0
96.988,0.0,0,0
97.052,0.0,0,0
96.935,0.0,0,0
104.543,0.0,0,0
91.818,0.0,0,0
90.302,0.0,0,0
91.858,0.0,0,0
91.48,0.0,0,0
91.584,0.0,0,0
91.04,0.0,0,0
90.474,0.0,0,0
90.23,0.0,0,0
91.558,0.0,0,0
91.817,0.0,0,0
91.515,0.0,0,0
90.812,0.0,0,0
91.686,0.0,0,0
91.296,0.0,0,0
91.715,0.0,0,0
90.667,0.0,0,0
90.258,0.0,0,0
90.541,0.0,0,0
91.741,0.0,0,0
91.675,0.0,0,0
91.847,0.0,0,0
91.512,0.0,0,0
90.578,0.0,0,0
90.445,0.0,0,0
90.601,0.0,0,0
90.845,0.0,0,0
90.066,0.0,0,0
90.459,0.0,0,0
90.265,0.0,0,0
90.602,0.0,0,0
114.291,0.0,0,0
97.947,0.0,0,0
97.172,0.0,0,0
97.789,0.0,0,0
97.919,0.0,0,0
97.098,0.0,0,0
96.991,0.0,0,0
98.067,0.0,0,0
96.604,0.0,0,0
96.947,0.0,0,0
96.845,0.0,0,0
104.265,0.0,0,0
90.604,0.0,0,0
91.693,0.0,0,0
91.642,0.0,0,0
92.015,0.0,0,0
