times,gctimes,memory,allocs
10121.0,0.0,3008,61
40896.0,0.0,3008,61
10534.0,0.0,3008,61
7871.0,0.0,3008,61
7170.0,0.0,3008,61
5923.0,0.0,3008,61
5949.0,0.0,3008,61
6020.0,0.0,3008,61
5803.0,0.0,3008,61
5897.0,0.0,3008,61
5852.0,0.0,3008,61
5996.0,0.0,3008,61
5978.0,0.0,3008,61
5857.0,0.0,3008,61
5752.0,0.0,3008,61
5784.0,0.0,3008,61
5749.0,0.0,3008,61
5771.0,0.0,3008,61
5745.0,0.0,3008,61
5925.0,0.0,3008,61
6073.0,0.0,3008,61
5796.0,0.0,3008,61
5730.0,0.0,3008,61
5776.0,0.0,3008,61
5763.0,0.0,3008,61
5790.0,0.0,3008,61
5773.0,0.0,3008,61
6152.0,0.0,3008,61
5839.0,0.0,3008,61
5796.0,0.0,3008,61
5759.0,0.0,3008,61
5859.0,0.0,3008,61
5819.0,0.0,3008,61
6011.0,0.0,3008,61
5931.0,0.0,3008,61
5918.0,0.0,3008,61
5760.0,0.0,3008,61
5811.0,0.0,3008,61
5727.0,0.0,3008,61
5842.0,0.0,3008,61
5801.0,0.0,3008,61
5841.0,0.0,3008,61
5770.0,0.0,3008,61
5803.0,0.0,3008,61
5861.0,0.0,3008,61
5767.0,0.0,3008,61
5754.0,0.0,3008,61
5730.0,0.0,3008,61
5728.0,0.0,3008,61
5740.0,0.0,3008,61
5768.0,0.0,3008,61
5757.0,0.0,3008,61
5771.0,0.0,3008,61
5823.0,0.0,3008,61
5911.0,0.0,3008,61
6032.0,0.0,3008,61
5737.0,0.0,3008,61
6002.0,0.0,3008,61
6010.0,0.0,3008,61
6030.0,0.0,3008,61
5785.0,0.0,3008,61
5913.0,0.0,3008,61
5757.0,0.0,3008,61
5942.0,0.0,3008,61
5974.0,0.0,3008,61
5862.0,0.0,3008,61
5745.0,0.0,3008,61
5726.0,0.0,3008,61
5894.0,0.0,3008,61
5869.0,0.0,3008,61
5754.0,0.0,3008,61
5708.0,0.0,3008,61
5707.0,0.0,3008,61
5919.0,0.0,3008,61
5755.0,0.0,3008,61
5730.0,0.0,3008,61
5747.0,0.0,3008,61
5794.0,0.0,3008,61
5898.0,0.0,3008,61
5724.0,0.0,3008,61
5787.0,0.0,3008,61
5716.0,0.0,3008,61
5741.0,0.0,3008,61
6163.0,0.0,3008,61
5842.0,0.0,3008,61
5748.0,0.0,3008,61
5775.0,0.0,3008,61
5801.0,0.0,3008,61
5687.0,0.0,3008,61
5751.0,0.0,3008,61
5743.0,0.0,3008,61
5954.0,0.0,3008,61
5769.0,0.0,3008,61
5783.0,0.0,3008,61
5871.0,0.0,3008,61
5814.0,0.0,3008,61
5826.0,0.0,3008,61
6157.0,0.0,3008,61
5868.0,0.0,3008,61
5749.0,0.0,3008,61
5765.0,0.0,3008,61
5781.0,0.0,3008,61
5698.0,0.0,3008,61
5848.0,0.0,3008,61
5767.0,0.0,3008,61
5785.0,0.0,3008,61
5842.0,0.0,3008,61
5850.0,0.0,3008,61
5804.0,0.0,3008,61
5739.0,0.0,3008,61
5893.0,0.0,3008,61
5792.0,0.0,3008,61
6108.0,0.0,3008,61
5806.0,0.0,3008,61
5802.0,0.0,3008,61
5775.0,0.0,3008,61
5778.0,0.0,3008,61
5941.0,0.0,3008,61
5781.0,0.0,3008,61
5732.0,0.0,3008,61
6136.0,0.0,3008,61
5834.0,0.0,3008,61
5765.0,0.0,3008,61
5769.0,0.0,3008,61
5880.0,0.0,3008,61
5768.0,0.0,3008,61
6087.0,0.0,3008,61
6090.0,0.0,3008,61
5746.0,0.0,3008,61
6009.0,0.0,3008,61
5988.0,0.0,3008,61
5772.0,0.0,3008,61
5885.0,0.0,3008,61
6272.0,0.0,3008,61
5746.0,0.0,3008,61
5805.0,0.0,3008,61
6249.0,0.0,3008,61
5749.0,0.0,3008,61
5880.0,0.0,3008,61
5726.0,0.0,3008,61
5747.0,0.0,3008,61
6062.0,0.0,3008,61
5793.0,0.0,3008,61
5800.0,0.0,3008,61
5729.0,0.0,3008,61
5928.0,0.0,3008,61
5764.0,0.0,3008,61
5758.0,0.0,3008,61
5746.0,0.0,3008,61
5761.0,0.0,3008,61
5745.0,0.0,3008,61
6117.0,0.0,3008,61
5738.0,0.0,3008,61
5744.0,0.0,3008,61
5845.0,0.0,3008,61
6002.0,0.0,3008,61
5738.0,0.0,3008,61
5739.0,0.0,3008,61
5928.0,0.0,3008,61
5841.0,0.0,3008,61
5898.0,0.0,3008,61
5731.0,0.0,3008,61
5755.0,0.0,3008,61
5935.0,0.0,3008,61
5792.0,0.0,3008,61
5789.0,0.0,3008,61
5914.0,0.0,3008,61
5854.0,0.0,3008,61
6021.0,0.0,3008,61
5744.0,0.0,3008,61
5755.0,0.0,3008,61
5744.0,0.0,3008,61
5861.0,0.0,3008,61
5753.0,0.0,3008,61
5867.0,0.0,3008,61
6244.0,0.0,3008,61
6764.0,0.0,3008,61
5742.0,0.0,3008,61
5783.0,0.0,3008,61
6435.0,0.0,3008,61
5827.0,0.0,3008,61
5817.0,0.0,3008,61
6448.0,0.0,3008,61
6168.0,0.0,3008,61
6230.0,0.0,3008,61
6671.0,0.0,3008,61
5759.0,0.0,3008,61
5906.0,0.0,3008,61
5886.0,0.0,3008,61
12939.0,0.0,3008,61
7299.0,0.0,3008,61
6592.0,0.0,3008,61
6291.0,0.0,3008,61
5881.0,0.0,3008,61
6213.0,0.0,3008,61
6219.0,0.0,3008,61
5859.0,0.0,3008,61
5845.0,0.0,3008,61
5928.0,0.0,3008,61
6099.0,0.0,3008,61
7199.0,0.0,3008,61
6730.0,0.0,3008,61
6119.0,0.0,3008,61
5744.0,0.0,3008,61
6131.0,0.0,3008,61
6064.0,0.0,3008,61
5802.0,0.0,3008,61
5797.0,0.0,3008,61
6327.0,0.0,3008,61
5815.0,0.0,3008,61
5863.0,0.0,3008,61
5823.0,0.0,3008,61
5853.0,0.0,3008,61
5933.0,0.0,3008,61
6647.0,0.0,3008,61
5780.0,0.0,3008,61
5899.0,0.0,3008,61
6108.0,0.0,3008,61
5795.0,0.0,3008,61
6065.0,0.0,3008,61
5724.0,0.0,3008,61
5735.0,0.0,3008,61
5757.0,0.0,3008,61
5823.0,0.0,3008,61
6003.0,0.0,3008,61
5771.0,0.0,3008,61
5751.0,0.0,3008,61
5754.0,0.0,3008,61
5794.0,0.0,3008,61
5771.0,0.0,3008,61
5756.0,0.0,3008,61
5796.0,0.0,3008,61
6257.0,0.0,3008,61
6263.0,0.0,3008,61
5784.0,0.0,3008,61
5745.0,0.0,3008,61
5903.0,0.0,3008,61
5741.0,0.0,3008,61
5776.0,0.0,3008,61
5889.0,0.0,3008,61
5768.0,0.0,3008,61
6053.0,0.0,3008,61
5790.0,0.0,3008,61
5828.0,0.0,3008,61
5778.0,0.0,3008,61
