times,gctimes,memory,allocs
947.376,0.0,2288,26
938.812,0.0,2288,26
995.269,0.0,2288,26
1026.341,0.0,2288,26
1035.292,0.0,2288,26
975.901,0.0,2288,26
952.097,0.0,2288,26
932.697,0.0,2288,26
911.02,0.0,2288,26
918.208,0.0,2288,26
915.034,0.0,2288,26
918.769,0.0,2288,26
924.232,0.0,2288,26
988.685,0.0,2288,26
929.374,0.0,2288,26
931.668,0.0,2288,26
942.697,0.0,2288,26
973.266,0.0,2288,26
918.744,0.0,2288,26
920.868,0.0,2288,26
916.138,0.0,2288,26
918.883,0.0,2288,26
894.343,0.0,2288,26
901.936,0.0,2288,26
893.315,0.0,2288,26
894.096,0.0,2288,26
902.268,0.0,2288,26
890.211,0.0,2288,26
896.124,0.0,2288,26
909.892,0.0,2288,26
899.028,0.0,2288,26
924.99,0.0,2288,26
882.772,0.0,2288,26
1027.551,0.0,2288,26
2155.849,0.0,2288,26
2175.642,0.0,2288,26
2269.738,0.0,2288,26
2183.7,0.0,2288,26
2188.622,0.0,2288,26
2194.614,0.0,2288,26
2193.656,0.0,2288,26
2173.19,0.0,2288,26
2156.551,0.0,2288,26
2174.748,0.0,2288,26
2155.441,0.0,2288,26
2250.415,0.0,2288,26
2148.193,0.0,2288,26
2156.435,0.0,2288,26
2146.05,0.0,2288,26
2138.616,0.0,2288,26
2147.324,0.0,2288,26
2135.29,0.0,2288,26
2162.059,0.0,2288,26
2142.535,0.0,2288,26
2141.787,0.0,2288,26
2163.451,0.0,2288,26
24983.451,23388.38,2288,26
928.015,0.0,2288,26
935.316,0.0,2288,26
957.68,0.0,2288,26
953.729,0.0,2288,26
967.184,0.0,2288,26
981.808,0.0,2288,26
1012.878,0.0,2288,26
991.524,0.0,2288,26
929.432,0.0,2288,26
917.647,0.0,2288,26
902.132,0.0,2288,26
914.122,0.0,2288,26
920.619,0.0,2288,26
902.514,0.0,2288,26
902.565,0.0,2288,26
908.53,0.0,2288,26
895.924,0.0,2288,26
936.656,0.0,2288,26
913.836,0.0,2288,26
904.918,0.0,2288,26
907.128,0.0,2288,26
917.039,0.0,2288,26
895.509,0.0,2288,26
887.962,0.0,2288,26
894.251,0.0,2288,26
910.204,0.0,2288,26
882.664,0.0,2288,26
887.993,0.0,2288,26
891.246,0.0,2288,26
883.822,0.0,2288,26
979.228,0.0,2288,26
974.435,0.0,2288,26
876.629,0.0,2288,26
886.55,0.0,2288,26
938.092,0.0,2288,26
936.704,0.0,2288,26
12559.945,11629.665,2288,26
913.921,0.0,2288,26
910.286,0.0,2288,26
927.41,0.0,2288,26
920.389,0.0,2288,26
936.461,0.0,2288,26
947.748,0.0,2288,26
1000.527,0.0,2288,26
974.227,0.0,2288,26
929.987,0.0,2288,26
912.714,0.0,2288,26
919.558,0.0,2288,26
906.319,0.0,2288,26
903.961,0.0,2288,26
915.102,0.0,2288,26
926.19,0.0,2288,26
925.519,0.0,2288,26
964.675,0.0,2288,26
918.46,0.0,2288,26
906.931,0.0,2288,26
915.439,0.0,2288,26
907.496,0.0,2288,26
902.447,0.0,2288,26
888.923,0.0,2288,26
904.949,0.0,2288,26
889.554,0.0,2288,26
888.705,0.0,2288,26
885.414,0.0,2288,26
886.846,0.0,2288,26
903.512,0.0,2288,26
877.699,0.0,2288,26
878.413,0.0,2288,26
8042.2,7120.796,2288,26
901.739,0.0,2288,26
932.587,0.0,2288,26
929.314,0.0,2288,26
920.871,0.0,2288,26
935.153,0.0,2288,26
983.569,0.0,2288,26
1004.494,0.0,2288,26
970.794,0.0,2288,26
908.029,0.0,2288,26
906.245,0.0,2288,26
907.272,0.0,2288,26
904.926,0.0,2288,26
895.669,0.0,2288,26
895.822,0.0,2288,26
920.72,0.0,2288,26
904.099,0.0,2288,26
893.793,0.0,2288,26
922.727,0.0,2288,26
905.396,0.0,2288,26
899.202,0.0,2288,26
900.77,0.0,2288,26
897.407,0.0,2288,26
889.256,0.0,2288,26
908.711,0.0,2288,26
890.165,0.0,2288,26
887.024,0.0,2288,26
884.938,0.0,2288,26
7616.833,6686.172,2288,26
897.783,0.0,2288,26
909.424,0.0,2288,26
898.99,0.0,2288,26
904.199,0.0,2288,26
919.286,0.0,2288,26
969.245,0.0,2288,26
975.922,0.0,2288,26
963.455,0.0,2288,26
918.676,0.0,2288,26
923.259,0.0,2288,26
894.579,0.0,2288,26
899.299,0.0,2288,26
902.901,0.0,2288,26
919.553,0.0,2288,26
927.768,0.0,2288,26
906.809,0.0,2288,26
960.517,0.0,2288,26
912.724,0.0,2288,26
919.361,0.0,2288,26
898.362,0.0,2288,26
907.688,0.0,2288,26
899.081,0.0,2288,26
909.306,0.0,2288,26
889.997,0.0,2288,26
7539.254,6591.5,2288,26
908.871,0.0,2288,26
919.906,0.0,2288,26
919.651,0.0,2288,26
969.692,0.0,2288,26
994.716,0.0,2288,26
971.392,0.0,2288,26
1002.963,0.0,2288,26
968.942,0.0,2288,26
904.674,0.0,2288,26
898.447,0.0,2288,26
892.399,0.0,2288,26
895.81,0.0,2288,26
977.516,0.0,2288,26
919.597,0.0,2288,26
908.378,0.0,2288,26
901.833,0.0,2288,26
911.132,0.0,2288,26
931.471,0.0,2288,26
894.26,0.0,2288,26
899.275,0.0,2288,26
916.084,0.0,2288,26
7213.383,6283.826,2288,26
914.495,0.0,2288,26
901.955,0.0,2288,26
901.002,0.0,2288,26
903.893,0.0,2288,26
915.423,0.0,2288,26
939.779,0.0,2288,26
972.415,0.0,2288,26
967.29,0.0,2288,26
929.448,0.0,2288,26
926.125,0.0,2288,26
901.337,0.0,2288,26
896.909,0.0,2288,26
902.951,0.0,2288,26
906.096,0.0,2288,26
936.546,0.0,2288,26
906.575,0.0,2288,26
912.559,0.0,2288,26
1044.353,0.0,2288,26
963.834,0.0,2288,26
6995.202,6032.667,2288,26
942.002,0.0,2288,26
910.025,0.0,2288,26
913.052,0.0,2288,26
918.387,0.0,2288,26
943.248,0.0,2288,26
935.877,0.0,2288,26
980.885,0.0,2288,26
987.801,0.0,2288,26
942.421,0.0,2288,26
900.962,0.0,2288,26
895.294,0.0,2288,26
897.786,0.0,2288,26
910.623,0.0,2288,26
900.486,0.0,2288,26
896.833,0.0,2288,26
903.069,0.0,2288,26
892.264,0.0,2288,26
906.854,0.0,2288,26
6581.025,5644.436,2288,26
964.486,0.0,2288,26
953.765,0.0,2288,26
906.254,0.0,2288,26
917.83,0.0,2288,26
919.293,0.0,2288,26
1030.107,0.0,2288,26
999.985,0.0,2288,26
952.42,0.0,2288,26
911.188,0.0,2288,26
991.563,0.0,2288,26
917.92,0.0,2288,26
894.866,0.0,2288,26
899.736,0.0,2288,26
1003.802,0.0,2288,26
944.205,0.0,2288,26
6360.207,5419.048,2288,26
980.13,0.0,2288,26
931.122,0.0,2288,26
916.206,0.0,2288,26
914.712,0.0,2288,26
998.051,0.0,2288,26
968.503,0.0,2288,26
982.506,0.0,2288,26
