times,gctimes,memory,allocs
2.007483281e6,233256.452,2084792,20042
1.946773246e6,171775.465,2084792,20042
1.935146007e6,176176.028,2084792,20042
1.919657264e6,163559.079,2084792,20042
1.926762176e6,171365.59,2084792,20042
1.907828007e6,166630.856,2084792,20042
1.946373707e6,171362.515,2084792,20042
1.926404705e6,164716.99,2084792,20042
1.936999337e6,174175.152,2084792,20042
1.931930262e6,169156.535,2084792,20042
1.927512775e6,167268.937,2084792,20042
1.928427716e6,169582.324,2084792,20042
1.922129745e6,173568.122,2084792,20042
1.938819566e6,163167.89,2084792,20042
1.929755254e6,167764.475,2084792,20042
1.921967406e6,164549.758,2084792,20042
1.928189104e6,167627.801,2084792,20042
1.927298664e6,165781.13,2084792,20042
1.923020255e6,165406.506,2084792,20042
2.334840263e6,467077.033,2084792,20042
1.933660418e6,186622.555,2084792,20042
1.927281379e6,177400.07,2084792,20042
1.926804079e6,172836.327,2084792,20042
1.955449555e6,176515.591,2084792,20042
1.938449097e6,170937.313,2084792,20042
1.917959125e6,170863.54,2084792,20042
1.905244296e6,166118.413,2084792,20042
1.94577269e6,175830.728,2084792,20042
1.929027379e6,170528.85,2084792,20042
1.931785307e6,170960.359,2084792,20042
1.93047861e6,168716.337,2084792,20042
1.93339448e6,173794.897,2084792,20042
1.926177956e6,163229.585,2084792,20042
1.91677161e6,158374.877,2084792,20042
1.92869872e6,163024.16,2084792,20042
1.897609542e6,158241.764,2084792,20042
1.931444876e6,164133.396,2084792,20042
1.928179563e6,164506.906,2084792,20042
1.927083398e6,163777.776,2084792,20042
1.926082945e6,166636.965,2084792,20042
1.919935126e6,168109.578,2084792,20042
2.415963767e6,499857.317,2084792,20042
1.93290089e6,191069.68,2084792,20042
1.936568808e6,181474.549,2084792,20042
1.909247431e6,172188.824,2084792,20042
1.908743155e6,168348.2,2084792,20042
1.92132126e6,178361.587,2084792,20042
1.918194505e6,175215.918,2084792,20042
1.919322075e6,175119.149,2084792,20042
1.92028127e6,174825.913,2084792,20042
1.916440482e6,174300.196,2084792,20042
1.917738905e6,172951.585,2084792,20042
