times,gctimes,memory,allocs
2.118961188e6,177130.192,1088656,20006
2.085940592e6,176861.702,1088656,20006
2.088352337e6,176464.864,1088656,20006
2.080730746e6,172311.021,1088656,20006
2.089384981e6,185827.286,1088656,20006
2.071146968e6,172011.086,1088656,20006
2.093990909e6,178086.432,1088656,20006
2.07420759e6,172448.859,1088656,20006
2.082241796e6,177467.489,1088656,20006
2.070481243e6,171252.0,1088656,20006
2.077495523e6,172400.521,1088656,20006
2.087856944e6,181563.324,1088656,20006
2.07613742e6,171939.962,1088656,20006
2.070131991e6,171469.971,1088656,20006
2.092918493e6,181683.404,1088656,20006
2.075366406e6,172386.377,1088656,20006
2.069695694e6,171898.935,1088656,20006
2.083069752e6,177014.011,1088656,20006
2.080041855e6,176986.732,1088656,20006
2.080870779e6,172426.83,1088656,20006
2.08465107e6,179499.835,1088656,20006
2.077487844e6,172004.217,1088656,20006
2.079856927e6,177086.3,1088656,20006
2.069250023e6,171694.358,1088656,20006
2.090797532e6,177635.306,1088656,20006
2.074148142e6,172409.586,1088656,20006
2.076411238e6,172616.481,1088656,20006
2.072166553e6,173783.042,1088656,20006
2.068139063e6,171971.488,1088656,20006
2.078296129e6,177294.32,1088656,20006
2.07304519e6,172310.751,1088656,20006
2.080485289e6,173891.096,1088656,20006
2.088431986e6,177314.859,1088656,20006
2.072319644e6,176599.08,1088656,20006
2.065575574e6,171458.661,1088656,20006
2.070217261e6,171849.456,1088656,20006
2.068372205e6,171672.722,1088656,20006
2.094730286e6,179104.263,1088656,20006
2.075963764e6,172831.799,1088656,20006
2.089146684e6,178145.141,1088656,20006
2.08703245e6,174468.088,1088656,20006
2.089124605e6,176450.27,1088656,20006
2.077072855e6,172936.658,1088656,20006
2.071117351e6,176828.931,1088656,20006
2.069309196e6,172352.694,1088656,20006
2.064312212e6,171522.867,1088656,20006
2.073965045e6,172299.96,1088656,20006
2.095158661e6,183051.451,1088656,20006
