times,gctimes,memory,allocs
335.0,0.0,0,0
2974.0,0.0,0,0
873.0,0.0,0,0
220.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
93.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
91.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
94.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
115.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
92.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
92.0,0.0,0,0
88.0,0.0,0,0
91.0,0.0,0,0
88.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
92.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
93.0,0.0,0,0
91.0,0.0,0,0
88.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
92.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
93.0,0.0,0,0
92.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
95.0,0.0,0,0
87.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
92.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
92.0,0.0,0,0
92.0,0.0,0,0
94.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
91.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
92.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
115.0,0.0,0,0
93.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
92.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
92.0,0.0,0,0
90.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
106.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
89.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
93.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
91.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
91.0,0.0,0,0
90.0,0.0,0,0
88.0,0.0,0,0
90.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
87.0,0.0,0,0
87.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
87.0,0.0,0,0
90.0,0.0,0,0
89.0,0.0,0,0
88.0,0.0,0,0
88.0,0.0,0,0
