times,gctimes,memory,allocs
1.970639602e6,232401.27,2084790,20042
1.866415492e6,150655.696,2084790,20042
1.863949044e6,140591.3,2084790,20042
1.834084384e6,135965.787,2084790,20042
1.82874356e6,132269.007,2084790,20042
1.87799365e6,140212.889,2084790,20042
1.857621254e6,133999.749,2084790,20042
1.869589901e6,139597.408,2084790,20042
1.852559822e6,136867.235,2084790,20042
1.871330993e6,143262.109,2084790,20042
1.853932392e6,137306.846,2084790,20042
1.842535349e6,139129.68,2084790,20042
1.877322998e6,145534.837,2084790,20042
1.849561944e6,142298.389,2084790,20042
1.865751351e6,143002.063,2084790,20042
1.856259901e6,137708.819,2084790,20042
1.845297383e6,127211.292,2084790,20042
2.224530413e6,438742.979,2084790,20042
1.872629357e6,163391.631,2084790,20042
1.858925177e6,153653.439,2084790,20042
1.859275866e6,153608.237,2084790,20042
1.867769477e6,156229.705,2084790,20042
1.902624662e6,165137.783,2084790,20042
1.882359855e6,160233.426,2084790,20042
1.856557843e6,154888.088,2084790,20042
1.853616016e6,154393.822,2084790,20042
1.888691295e6,158690.99,2084790,20042
1.886811757e6,162672.857,2084790,20042
1.879883393e6,151592.633,2084790,20042
1.874071334e6,153030.925,2084790,20042
1.891633788e6,160188.437,2084790,20042
1.873301279e6,151445.228,2084790,20042
1.871424435e6,147349.446,2084790,20042
1.877227391e6,149477.68,2084790,20042
1.870089459e6,143622.399,2084790,20042
1.897321483e6,150834.703,2084790,20042
2.287375373e6,453007.512,2084790,20042
1.887239422e6,166110.752,2084790,20042
1.874701935e6,158217.503,2084790,20042
1.880863095e6,161026.255,2084790,20042
1.88394656e6,159300.598,2084790,20042
1.891293044e6,165285.578,2084790,20042
1.884465763e6,162209.776,2084790,20042
1.8839376e6,157264.684,2084790,20042
1.883066969e6,153932.507,2084790,20042
1.879606301e6,153040.889,2084790,20042
1.883209719e6,158775.258,2084790,20042
1.88624588e6,155086.249,2084790,20042
1.886606499e6,158938.367,2084790,20042
1.883495496e6,151869.084,2084790,20042
1.885524637e6,156026.286,2084790,20042
1.888039022e6,157413.249,2084790,20042
1.911877968e6,163404.773,2084790,20042
