times,gctimes,memory,allocs
2.105246559e6,202926.131,1088656,20006
2.05238077e6,184481.886,1088656,20006
2.036402621e6,182383.254,1088656,20006
2.026828266e6,177237.513,1088656,20006
2.024109256e6,181339.523,1088656,20006
2.028612734e6,173759.4,1088656,20006
2.022025862e6,174154.858,1088656,20006
2.018182743e6,174542.216,1088656,20006
2.027376516e6,178058.478,1088656,20006
2.011925815e6,171680.1,1088656,20006
2.051869205e6,178938.046,1088656,20006
2.046194221e6,178776.606,1088656,20006
2.004312787e6,171676.927,1088656,20006
2.022348945e6,177900.286,1088656,20006
2.003807807e6,171992.232,1088656,20006
2.01754959e6,183010.209,1088656,20006
1.996749739e6,171402.206,1088656,20006
2.015576447e6,169098.286,1088656,20006
2.014226658e6,173725.894,1088656,20006
2.017118942e6,173482.065,1088656,20006
2.031473205e6,180337.058,1088656,20006
2.030125944e6,173568.443,1088656,20006
2.009933919e6,172522.406,1088656,20006
2.01626983e6,180037.527,1088656,20006
2.007759785e6,172005.32,1088656,20006
2.007878493e6,174789.951,1088656,20006
2.007718773e6,172531.458,1088656,20006
2.000619919e6,171841.687,1088656,20006
2.01093514e6,172322.28,1088656,20006
2.016098712e6,180650.383,1088656,20006
2.010215755e6,172589.314,1088656,20006
2.000259775e6,172441.263,1088656,20006
2.019423014e6,173362.452,1088656,20006
2.011198523e6,172350.224,1088656,20006
2.00314579e6,172295.767,1088656,20006
2.022176831e6,174243.232,1088656,20006
2.018655266e6,175148.698,1088656,20006
2.015843509e6,173130.134,1088656,20006
2.019490398e6,174517.542,1088656,20006
2.013781995e6,173095.805,1088656,20006
2.014496093e6,175935.402,1088656,20006
2.006865255e6,172463.699,1088656,20006
1.995064458e6,171757.986,1088656,20006
2.002079923e6,171948.262,1088656,20006
2.000582001e6,172167.964,1088656,20006
2.018720701e6,179608.051,1088656,20006
1.994549817e6,167125.595,1088656,20006
1.994722856e6,171675.717,1088656,20006
1.997257283e6,171709.53,1088656,20006
1.995680351e6,173470.838,1088656,20006
