times,gctimes,bytes,allocs
1.7621666666666666e-6,0.0,2208.0,21.0
1.7461111111111113e-6,0.0,2208.0,21.0
1.4445e-6,0.0,2208.0,21.0
1.3675555555555556e-6,0.0,2208.0,21.0
1.0410555555555557e-6,0.0,2208.0,21.0
9.893333333333334e-7,0.0,2208.0,21.0
1.0150555555555556e-6,0.0,2208.0,21.0
9.659444444444445e-7,0.0,2208.0,21.0
1.0288333333333334e-6,0.0,2208.0,21.0
1.002777777777778e-6,0.0,2208.0,21.0
1.008277777777778e-6,0.0,2208.0,21.0
9.795000000000001e-7,0.0,2208.0,21.0
9.705e-7,0.0,2208.0,21.0
1.0073888888888889e-6,0.0,2208.0,21.0
1.0202777777777778e-6,0.0,2208.0,21.0
9.676666666666667e-7,0.0,2208.0,21.0
9.988888888888889e-7,0.0,2208.0,21.0
9.882222222222221e-7,0.0,2208.0,21.0
9.781111111111112e-7,0.0,2208.0,21.0
1.0559444444444445e-6,0.0,2208.0,21.0
1.0154444444444445e-6,0.0,2208.0,21.0
1.0176666666666666e-6,0.0,2208.0,21.0
1.0368333333333334e-6,0.0,2208.0,21.0
1.0036111111111112e-6,0.0,2208.0,21.0
1.0070555555555557e-6,0.0,2208.0,21.0
1.0127222222222223e-6,0.0,2208.0,21.0
9.715e-7,0.0,2208.0,21.0
1.0280000000000002e-6,0.0,2208.0,21.0
1.0501111111111111e-6,0.0,2208.0,21.0
9.957777777777779e-7,0.0,2208.0,21.0
1.0861666666666667e-6,0.0,2208.0,21.0
1.0496666666666669e-6,0.0,2208.0,21.0
1.0176666666666666e-6,0.0,2208.0,21.0
9.77388888888889e-7,0.0,2208.0,21.0
1.023388888888889e-6,0.0,2208.0,21.0
9.997222222222221e-7,0.0,2208.0,21.0
1.0625555555555556e-6,0.0,2208.0,21.0
1.0116111111111112e-6,0.0,2208.0,21.0
1.0174444444444446e-6,0.0,2208.0,21.0
1.0240555555555557e-6,0.0,2208.0,21.0
1.0076666666666667e-6,0.0,2208.0,21.0
1.0303333333333335e-6,0.0,2208.0,21.0
9.785555555555556e-7,0.0,2208.0,21.0
1.1045000000000002e-6,0.0,2208.0,21.0
9.891666666666666e-7,0.0,2208.0,21.0
9.851666666666667e-7,0.0,2208.0,21.0
9.980555555555556e-7,0.0,2208.0,21.0
1.0199444444444446e-6,0.0,2208.0,21.0
9.936111111111113e-7,0.0,2208.0,21.0
9.621666666666667e-7,0.0,2208.0,21.0
9.935555555555555e-7,0.0,2208.0,21.0
1.058e-6,0.0,2208.0,21.0
1.023e-6,0.0,2208.0,21.0
1.0062222222222224e-6,0.0,2208.0,21.0
1.013388888888889e-6,0.0,2208.0,21.0
1.0783333333333335e-6,0.0,2208.0,21.0
9.862222222222224e-7,0.0,2208.0,21.0
9.911111111111111e-7,0.0,2208.0,21.0
1.015e-6,0.0,2208.0,21.0
9.537777777777779e-7,0.0,2208.0,21.0
1.0007777777777778e-6,0.0,2208.0,21.0
9.889444444444446e-7,0.0,2208.0,21.0
9.79777777777778e-7,0.0,2208.0,21.0
9.90888888888889e-7,0.0,2208.0,21.0
1.0286666666666666e-6,0.0,2208.0,21.0
1.4112777777777777e-6,0.0,2208.0,21.0
1.3454444444444445e-6,0.0,2208.0,21.0
1.1196666666666666e-6,0.0,2208.0,21.0
1.1112222222222225e-6,0.0,2208.0,21.0
1.0331111111111111e-6,0.0,2208.0,21.0
1.0316111111111112e-6,0.0,2208.0,21.0
9.696666666666668e-7,0.0,2208.0,21.0
1.013888888888889e-6,0.0,2208.0,21.0
9.88277777777778e-7,0.0,2208.0,21.0
1.0842222222222223e-6,0.0,2208.0,21.0
1.0326666666666669e-6,0.0,2208.0,21.0
1.0463333333333332e-6,0.0,2208.0,21.0
9.81388888888889e-7,0.0,2208.0,21.0
1.0210555555555557e-6,0.0,2208.0,21.0
1.1156666666666668e-6,0.0,2208.0,21.0
1.098777777777778e-6,0.0,2208.0,21.0
9.763888888888889e-7,0.0,2208.0,21.0
9.972222222222224e-7,0.0,2208.0,21.0
1.0177777777777778e-6,0.0,2208.0,21.0
1.0046666666666667e-6,0.0,2208.0,21.0
1.0111111111111111e-6,0.0,2208.0,21.0
1.0173333333333334e-6,0.0,2208.0,21.0
1.045888888888889e-6,0.0,2208.0,21.0
9.868333333333334e-7,0.0,2208.0,21.0
1.0445555555555555e-6,0.0,2208.0,21.0
1.058388888888889e-6,0.0,2208.0,21.0
9.851111111111113e-7,0.0,2208.0,21.0
9.833333333333334e-7,0.0,2208.0,21.0
9.875555555555557e-7,0.0,2208.0,21.0
1.0125555555555557e-6,0.0,2208.0,21.0
1.0330555555555555e-6,0.0,2208.0,21.0
1.0118333333333334e-6,0.0,2208.0,21.0
1.3397777777777779e-6,0.0,2208.0,21.0
1.0434444444444444e-6,0.0,2208.0,21.0
1.0320555555555556e-6,0.0,2208.0,21.0
1.0121111111111112e-6,0.0,2208.0,21.0
1.0093333333333332e-6,0.0,2208.0,21.0
9.825000000000001e-7,0.0,2208.0,21.0
9.740000000000001e-7,0.0,2208.0,21.0
9.91277777777778e-7,0.0,2208.0,21.0
9.73e-7,0.0,2208.0,21.0
1.2113333333333334e-6,0.0,2208.0,21.0
1.0295e-6,0.0,2208.0,21.0
1.0280000000000002e-6,0.0,2208.0,21.0
1.0011666666666669e-6,0.0,2208.0,21.0
9.94388888888889e-7,0.0,2208.0,21.0
9.993333333333333e-7,0.0,2208.0,21.0
1.0527777777777777e-6,0.0,2208.0,21.0
1.0379444444444445e-6,0.0,2208.0,21.0
9.883333333333333e-7,0.0,2208.0,21.0
1.0440555555555557e-6,0.0,2208.0,21.0
9.995000000000001e-7,0.0,2208.0,21.0
1.0485555555555556e-6,0.0,2208.0,21.0
1.0131666666666667e-6,0.0,2208.0,21.0
9.947222222222224e-7,0.0,2208.0,21.0
1.021111111111111e-6,0.0,2208.0,21.0
1.0132222222222223e-6,0.0,2208.0,21.0
1.0182222222222223e-6,0.0,2208.0,21.0
9.614444444444444e-7,0.0,2208.0,21.0
1.0201111111111112e-6,0.0,2208.0,21.0
1.0449444444444446e-6,0.0,2208.0,21.0
1.0306666666666667e-6,0.0,2208.0,21.0
9.969444444444445e-7,0.0,2208.0,21.0
1.0251666666666667e-6,0.0,2208.0,21.0
9.904444444444447e-7,0.0,2208.0,21.0
1.0104444444444445e-6,0.0,2208.0,21.0
1.0095555555555556e-6,0.0,2208.0,21.0
1.0357777777777777e-6,0.0,2208.0,21.0
1.0218333333333335e-6,0.0,2208.0,21.0
1.0408333333333335e-6,0.0,2208.0,21.0
9.99388888888889e-7,0.0,2208.0,21.0
1.0254444444444446e-6,0.0,2208.0,21.0
9.811111111111112e-7,0.0,2208.0,21.0
1.0717777777777779e-6,0.0,2208.0,21.0
1.08e-6,0.0,2208.0,21.0
1.003e-6,0.0,2208.0,21.0
1.0841111111111111e-6,0.0,2208.0,21.0
1.0888333333333333e-6,0.0,2208.0,21.0
1.098888888888889e-6,0.0,2208.0,21.0
9.585555555555556e-7,0.0,2208.0,21.0
9.71e-7,0.0,2208.0,21.0
1.0236111111111112e-6,0.0,2208.0,21.0
9.62888888888889e-7,0.0,2208.0,21.0
9.925555555555556e-7,0.0,2208.0,21.0
1.496388888888889e-6,0.0,2208.0,21.0
1.4365555555555557e-6,0.0,2208.0,21.0
1.1576666666666667e-6,0.0,2208.0,21.0
9.922777777777778e-7,0.0,2208.0,21.0
9.895000000000002e-7,0.0,2208.0,21.0
1.0038333333333334e-6,0.0,2208.0,21.0
9.721111111111112e-7,0.0,2208.0,21.0
1.0055555555555556e-6,0.0,2208.0,21.0
1.013388888888889e-6,0.0,2208.0,21.0
1.002277777777778e-6,0.0,2208.0,21.0
9.893333333333334e-7,0.0,2208.0,21.0
1.004777777777778e-6,0.0,2208.0,21.0
1.062888888888889e-6,0.0,2208.0,21.0
1.0408333333333335e-6,0.0,2208.0,21.0
1.032611111111111e-6,0.0,2208.0,21.0
9.87e-7,0.0,2208.0,21.0
1.0197222222222222e-6,0.0,2208.0,21.0
1.0266666666666669e-6,0.0,2208.0,21.0
9.86888888888889e-7,0.0,2208.0,21.0
1.0531111111111113e-6,0.0,2208.0,21.0
1.0007222222222224e-6,0.0,2208.0,21.0
1.0001666666666668e-6,0.0,2208.0,21.0
9.967222222222221e-7,0.0,2208.0,21.0
1.0585555555555555e-6,0.0,2208.0,21.0
1.135388888888889e-6,0.0,2208.0,21.0
1.083388888888889e-6,0.0,2208.0,21.0
1.2408333333333335e-6,0.0,2208.0,21.0
9.872222222222223e-7,0.0,2208.0,21.0
