times,gctimes,memory,allocs
96.601,0.0,0,0
100.947,0.0,0,0
97.02,0.0,0,0
94.085,0.0,0,0
115.087,0.0,0,0
106.133,0.0,0,0
100.084,0.0,0,0
101.655,0.0,0,0
99.932,0.0,0,0
99.216,0.0,0,0
102.084,0.0,0,0
99.902,0.0,0,0
99.171,0.0,0,0
99.85,0.0,0,0
102.882,0.0,0,0
100.96,0.0,0,0
100.479,0.0,0,0
109.818,0.0,0,0
92.799,0.0,0,0
93.901,0.0,0,0
95.376,0.0,0,0
92.035,0.0,0,0
94.293,0.0,0,0
93.455,0.0,0,0
112.14,0.0,0,0
100.97,0.0,0,0
100.847,0.0,0,0
99.389,0.0,0,0
100.072,0.0,0,0
99.275,0.0,0,0
100.842,0.0,0,0
100.748,0.0,0,0
101.777,0.0,0,0
100.099,0.0,0,0
100.768,0.0,0,0
99.201,0.0,0,0
99.097,0.0,0,0
100.207,0.0,0,0
102.51,0.0,0,0
99.873,0.0,0,0
99.519,0.0,0,0
101.305,0.0,0,0
99.251,0.0,0,0
100.356,0.0,0,0
103.86,0.0,0,0
120.021,0.0,0,0
103.033,0.0,0,0
105.482,0.0,0,0
105.902,0.0,0,0
103.636,0.0,0,0
103.702,0.0,0,0
102.879,0.0,0,0
103.052,0.0,0,0
105.332,0.0,0,0
102.885,0.0,0,0
121.421,0.0,0,0
94.736,0.0,0,0
92.997,0.0,0,0
92.679,0.0,0,0
92.012,0.0,0,0
93.665,0.0,0,0
95.002,0.0,0,0
92.5,0.0,0,0
93.887,0.0,0,0
93.451,0.0,0,0
93.038,0.0,0,0
92.708,0.0,0,0
93.431,0.0,0,0
93.666,0.0,0,0
93.476,0.0,0,0
93.7,0.0,0,0
94.84,0.0,0,0
95.07,0.0,0,0
92.547,0.0,0,0
93.209,0.0,0,0
93.036,0.0,0,0
93.052,0.0,0,0
94.018,0.0,0,0
92.752,0.0,0,0
96.671,0.0,0,0
95.327,0.0,0,0
94.966,0.0,0,0
94.341,0.0,0,0
93.468,0.0,0,0
95.369,0.0,0,0
127.648,0.0,0,0
100.63,0.0,0,0
103.151,0.0,0,0
101.813,0.0,0,0
101.157,0.0,0,0
101.791,0.0,0,0
98.808,0.0,0,0
98.927,0.0,0,0
99.19,0.0,0,0
99.027,0.0,0,0
100.318,0.0,0,0
106.994,0.0,0,0
93.41,0.0,0,0
92.617,0.0,0,0
93.752,0.0,0,0
92.138,0.0,0,0
94.742,0.0,0,0
98.504,0.0,0,0
92.629,0.0,0,0
92.339,0.0,0,0
93.414,0.0,0,0
92.385,0.0,0,0
93.39,0.0,0,0
95.038,0.0,0,0
92.806,0.0,0,0
94.514,0.0,0,0
95.27,0.0,0,0
93.273,0.0,0,0
93.713,0.0,0,0
94.29,0.0,0,0
93.202,0.0,0,0
92.511,0.0,0,0
96.989,0.0,0,0
91.927,0.0,0,0
93.284,0.0,0,0
93.527,0.0,0,0
92.712,0.0,0,0
93.462,0.0,0,0
93.849,0.0,0,0
93.282,0.0,0,0
93.262,0.0,0,0
139.066,0.0,0,0
105.574,0.0,0,0
103.522,0.0,0,0
103.722,0.0,0,0
103.069,0.0,0,0
105.288,0.0,0,0
102.654,0.0,0,0
103.324,0.0,0,0
102.768,0.0,0,0
105.884,0.0,0,0
116.316,0.0,0,0
100.005,0.0,0,0
101.285,0.0,0,0
99.519,0.0,0,0
100.416,0.0,0,0
100.927,0.0,0,0
100.715,0.0,0,0
102.121,0.0,0,0
100.485,0.0,0,0
99.265,0.0,0,0
99.791,0.0,0,0
99.313,0.0,0,0
100.385,0.0,0,0
99.263,0.0,0,0
99.236,0.0,0,0
98.865,0.0,0,0
99.637,0.0,0,0
104.012,0.0,0,0
96.315,0.0,0,0
93.172,0.0,0,0
93.508,0.0,0,0
93.162,0.0,0,0
93.57,0.0,0,0
93.012,0.0,0,0
93.956,0.0,0,0
93.288,0.0,0,0
92.496,0.0,0,0
93.332,0.0,0,0
93.103,0.0,0,0
135.824,0.0,0,0
102.824,0.0,0,0
102.532,0.0,0,0
103.623,0.0,0,0
102.149,0.0,0,0
102.874,0.0,0,0
107.563,0.0,0,0
105.269,0.0,0,0
109.315,0.0,0,0
101.998,0.0,0,0
126.655,0.0,0,0
92.561,0.0,0,0
92.509,0.0,0,0
94.911,0.0,0,0
93.443,0.0,0,0
92.816,0.0,0,0
93.81,0.0,0,0
95.413,0.0,0,0
94.265,0.0,0,0
91.98,0.0,0,0
95.627,0.0,0,0
94.356,0.0,0,0
96.11,0.0,0,0
93.278,0.0,0,0
93.927,0.0,0,0
96.627,0.0,0,0
94.678,0.0,0,0
93.231,0.0,0,0
94.775,0.0,0,0
93.313,0.0,0,0
96.873,0.0,0,0
95.173,0.0,0,0
93.587,0.0,0,0
93.392,0.0,0,0
94.173,0.0,0,0
93.426,0.0,0,0
93.115,0.0,0,0
98.295,0.0,0,0
92.447,0.0,0,0
94.744,0.0,0,0
119.334,0.0,0,0
106.379,0.0,0,0
103.128,0.0,0,0
102.881,0.0,0,0
104.608,0.0,0,0
102.962,0.0,0,0
104.14,0.0,0,0
104.431,0.0,0,0
105.107,0.0,0,0
108.876,0.0,0,0
114.971,0.0,0,0
96.541,0.0,0,0
93.382,0.0,0,0
95.999,0.0,0,0
95.682,0.0,0,0
92.578,0.0,0,0
94.695,0.0,0,0
92.783,0.0,0,0
93.84,0.0,0,0
96.318,0.0,0,0
94.887,0.0,0,0
92.06,0.0,0,0
93.489,0.0,0,0
93.33,0.0,0,0
95.327,0.0,0,0
93.742,0.0,0,0
94.698,0.0,0,0
92.526,0.0,0,0
93.941,0.0,0,0
93.977,0.0,0,0
93.859,0.0,0,0
94.534,0.0,0,0
92.643,0.0,0,0
92.423,0.0,0,0
92.632,0.0,0,0
93.874,0.0,0,0
94.036,0.0,0,0
93.096,0.0,0,0
92.607,0.0,0,0
93.364,0.0,0,0
129.729,0.0,0,0
105.167,0.0,0,0
102.957,0.0,0,0
105.534,0.0,0,0
105.728,0.0,0,0
105.824,0.0,0,0
102.875,0.0,0,0
103.925,0.0,0,0
104.485,0.0,0,0
102.742,0.0,0,0
115.155,0.0,0,0
108.62,0.0,0,0
94.086,0.0,0,0
93.311,0.0,0,0
94.437,0.0,0,0
92.255,0.0,0,0
96.852,0.0,0,0
93.372,0.0,0,0
93.15,0.0,0,0
93.418,0.0,0,0
94.354,0.0,0,0
95.632,0.0,0,0
95.637,0.0,0,0
94.672,0.0,0,0
92.45,0.0,0,0
93.999,0.0,0,0
93.186,0.0,0,0
92.535,0.0,0,0
93.814,0.0,0,0
93.685,0.0,0,0
93.881,0.0,0,0
92.623,0.0,0,0
92.528,0.0,0,0
94.039,0.0,0,0
93.846,0.0,0,0
93.093,0.0,0,0
94.07,0.0,0,0
94.085,0.0,0,0
93.538,0.0,0,0
93.184,0.0,0,0
92.74,0.0,0,0
122.121,0.0,0,0
103.428,0.0,0,0
103.354,0.0,0,0
102.474,0.0,0,0
105.662,0.0,0,0
105.173,0.0,0,0
105.796,0.0,0,0
104.482,0.0,0,0
107.174,0.0,0,0
106.183,0.0,0,0
121.782,0.0,0,0
92.966,0.0,0,0
92.704,0.0,0,0
94.42,0.0,0,0
95.768,0.0,0,0
93.899,0.0,0,0
92.66,0.0,0,0
95.59,0.0,0,0
