times,gctimes,memory,allocs
2.065743551e6,154121.407,1088656,20006
2.025819856e6,164464.06,1088656,20006
2.024821263e6,173752.95,1088656,20006
2.028375141e6,170174.728,1088656,20006
2.035787487e6,167267.489,1088656,20006
2.024399386e6,166235.163,1088656,20006
2.026251588e6,172827.774,1088656,20006
2.00113513e6,162179.043,1088656,20006
2.027255649e6,173359.421,1088656,20006
2.002218522e6,162085.374,1088656,20006
2.025079277e6,172534.193,1088656,20006
2.009147141e6,162802.773,1088656,20006
2.007674639e6,162801.929,1088656,20006
2.033070461e6,174990.7,1088656,20006
2.01529741e6,163831.601,1088656,20006
2.013734273e6,163149.388,1088656,20006
2.024599073e6,172642.928,1088656,20006
2.011768474e6,163366.382,1088656,20006
2.063447594e6,174167.847,1088656,20006
2.017591812e6,170528.184,1088656,20006
2.018338471e6,164090.265,1088656,20006
2.002802979e6,162434.42,1088656,20006
2.013174102e6,168407.989,1088656,20006
2.018090799e6,169256.81,1088656,20006
1.995286325e6,161883.044,1088656,20006
2.001246095e6,162357.766,1088656,20006
2.018746625e6,172721.237,1088656,20006
2.006981295e6,163558.111,1088656,20006
2.00080558e6,163642.771,1088656,20006
2.006525657e6,168639.342,1088656,20006
2.02845124e6,172038.222,1088656,20006
2.011563842e6,163719.112,1088656,20006
2.021232388e6,164303.641,1088656,20006
2.008736396e6,163094.286,1088656,20006
2.023760761e6,176514.827,1088656,20006
2.004207086e6,162398.281,1088656,20006
1.999815655e6,162215.331,1088656,20006
2.000512882e6,162686.534,1088656,20006
2.009963553e6,168401.497,1088656,20006
2.009746413e6,171994.405,1088656,20006
2.004719976e6,162897.32,1088656,20006
2.000330351e6,162414.909,1088656,20006
2.020788967e6,164287.317,1088656,20006
2.014543458e6,163789.297,1088656,20006
2.02061734e6,177209.256,1088656,20006
2.007266053e6,162059.74,1088656,20006
1.996150366e6,161947.795,1088656,20006
2.010194113e6,163448.001,1088656,20006
2.004248615e6,167832.731,1088656,20006
2.008083873e6,163444.833,1088656,20006
