times,gctimes,memory,allocs
91.68,0.0,0,0
99.257,0.0,0,0
93.881,0.0,0,0
93.86,0.0,0,0
93.436,0.0,0,0
93.076,0.0,0,0
93.278,0.0,0,0
92.527,0.0,0,0
92.733,0.0,0,0
93.485,0.0,0,0
93.302,0.0,0,0
93.312,0.0,0,0
93.781,0.0,0,0
93.587,0.0,0,0
92.956,0.0,0,0
93.065,0.0,0,0
122.682,0.0,0,0
104.403,0.0,0,0
102.937,0.0,0,0
103.886,0.0,0,0
104.077,0.0,0,0
104.162,0.0,0,0
103.384,0.0,0,0
103.911,0.0,0,0
103.899,0.0,0,0
103.983,0.0,0,0
125.385,0.0,0,0
93.156,0.0,0,0
93.583,0.0,0,0
92.818,0.0,0,0
93.531,0.0,0,0
92.573,0.0,0,0
93.717,0.0,0,0
93.344,0.0,0,0
93.174,0.0,0,0
92.999,0.0,0,0
93.658,0.0,0,0
93.305,0.0,0,0
92.908,0.0,0,0
92.864,0.0,0,0
92.123,0.0,0,0
92.969,0.0,0,0
93.137,0.0,0,0
116.155,0.0,0,0
100.249,0.0,0,0
99.541,0.0,0,0
99.563,0.0,0,0
100.128,0.0,0,0
100.355,0.0,0,0
100.98,0.0,0,0
100.426,0.0,0,0
100.093,0.0,0,0
100.311,0.0,0,0
102.742,0.0,0,0
100.481,0.0,0,0
104.385,0.0,0,0
119.928,0.0,0,0
103.907,0.0,0,0
102.961,0.0,0,0
103.754,0.0,0,0
102.609,0.0,0,0
103.923,0.0,0,0
103.498,0.0,0,0
103.769,0.0,0,0
104.782,0.0,0,0
103.912,0.0,0,0
114.322,0.0,0,0
110.837,0.0,0,0
92.728,0.0,0,0
93.313,0.0,0,0
93.227,0.0,0,0
92.777,0.0,0,0
92.352,0.0,0,0
93.305,0.0,0,0
92.947,0.0,0,0
93.6,0.0,0,0
92.693,0.0,0,0
93.621,0.0,0,0
93.173,0.0,0,0
92.165,0.0,0,0
93.536,0.0,0,0
93.305,0.0,0,0
93.204,0.0,0,0
93.507,0.0,0,0
93.694,0.0,0,0
92.986,0.0,0,0
93.622,0.0,0,0
93.52,0.0,0,0
93.417,0.0,0,0
93.731,0.0,0,0
93.641,0.0,0,0
92.135,0.0,0,0
93.903,0.0,0,0
92.841,0.0,0,0
92.534,0.0,0,0
92.166,0.0,0,0
117.132,0.0,0,0
99.957,0.0,0,0
99.501,0.0,0,0
100.057,0.0,0,0
101.751,0.0,0,0
101.244,0.0,0,0
99.161,0.0,0,0
100.158,0.0,0,0
100.073,0.0,0,0
99.994,0.0,0,0
99.708,0.0,0,0
109.538,0.0,0,0
93.493,0.0,0,0
93.765,0.0,0,0
92.167,0.0,0,0
93.446,0.0,0,0
93.533,0.0,0,0
93.418,0.0,0,0
93.177,0.0,0,0
93.61,0.0,0,0
93.072,0.0,0,0
93.384,0.0,0,0
93.224,0.0,0,0
93.268,0.0,0,0
93.491,0.0,0,0
93.376,0.0,0,0
93.461,0.0,0,0
93.318,0.0,0,0
93.454,0.0,0,0
93.899,0.0,0,0
93.536,0.0,0,0
93.686,0.0,0,0
93.054,0.0,0,0
93.526,0.0,0,0
93.553,0.0,0,0
