times,gctimes,memory,allocs
4.499728487e6,208880.039,4261776,17586
4.498364585e6,200866.749,4261776,17586
4.442639361e6,193422.707,4261776,17586
4.412841086e6,188025.443,4261776,17586
4.394496742e6,183983.662,4261776,17586
4.432102837e6,192338.099,4261776,17586
4.460000467e6,197667.895,4261776,17586
4.451504763e6,189902.478,4261776,17586
4.453531486e6,187622.851,4261776,17586
4.450914299e6,183854.655,4261776,17586
4.45248744e6,192662.516,4261776,17586
4.447965784e6,183935.314,4261776,17586
4.492068224e6,194184.165,4261776,17586
4.584184889e6,195568.713,4261776,17586
4.497458244e6,183997.176,4261776,17586
4.500047687e6,188453.326,4261776,17586
4.473238574e6,184121.573,4261776,17586
4.505222315e6,190713.34,4261776,17586
4.505467444e6,186056.454,4261776,17586
4.525973413e6,195064.151,4261776,17586
4.50249197e6,184852.652,4261776,17586
