times,gctimes,memory,allocs
798.535,0.0,2000,26
852.012,0.0,2000,26
902.04,0.0,2000,26
890.764,0.0,2000,26
891.856,0.0,2000,26
813.685,0.0,2000,26
795.091,0.0,2000,26
728.184,0.0,2000,26
738.894,0.0,2000,26
730.179,0.0,2000,26
732.677,0.0,2000,26
734.107,0.0,2000,26
754.285,0.0,2000,26
739.437,0.0,2000,26
726.725,0.0,2000,26
728.935,0.0,2000,26
767.584,0.0,2000,26
738.086,0.0,2000,26
748.435,0.0,2000,26
735.802,0.0,2000,26
747.979,0.0,2000,26
734.777,0.0,2000,26
745.498,0.0,2000,26
727.659,0.0,2000,26
759.314,0.0,2000,26
745.967,0.0,2000,26
1560.781,0.0,2000,26
1713.838,0.0,2000,26
1686.052,0.0,2000,26
1756.996,0.0,2000,26
1839.558,0.0,2000,26
1854.916,0.0,2000,26
1803.953,0.0,2000,26
1791.563,0.0,2000,26
1789.2,0.0,2000,26
1788.623,0.0,2000,26
1793.093,0.0,2000,26
1783.914,0.0,2000,26
1789.865,0.0,2000,26
1787.277,0.0,2000,26
1795.245,0.0,2000,26
1780.336,0.0,2000,26
1792.348,0.0,2000,26
1782.529,0.0,2000,26
1934.46,0.0,2000,26
1935.938,0.0,2000,26
1931.115,0.0,2000,26
1932.955,0.0,2000,26
1930.409,0.0,2000,26
1935.65,0.0,2000,26
1945.54,0.0,2000,26
1967.015,0.0,2000,26
1951.329,0.0,2000,26
1965.817,0.0,2000,26
23998.025,22703.023,2000,26
760.871,0.0,2000,26
795.191,0.0,2000,26
844.657,0.0,2000,26
832.13,0.0,2000,26
851.386,0.0,2000,26
838.261,0.0,2000,26
818.962,0.0,2000,26
783.775,0.0,2000,26
751.194,0.0,2000,26
735.291,0.0,2000,26
739.185,0.0,2000,26
728.291,0.0,2000,26
784.765,0.0,2000,26
722.294,0.0,2000,26
721.131,0.0,2000,26
728.199,0.0,2000,26
735.751,0.0,2000,26
727.594,0.0,2000,26
753.802,0.0,2000,26
738.321,0.0,2000,26
732.773,0.0,2000,26
725.262,0.0,2000,26
729.076,0.0,2000,26
750.864,0.0,2000,26
727.2,0.0,2000,26
726.28,0.0,2000,26
727.503,0.0,2000,26
728.622,0.0,2000,26
722.671,0.0,2000,26
832.497,0.0,2000,26
806.488,0.0,2000,26
723.329,0.0,2000,26
720.247,0.0,2000,26
722.091,0.0,2000,26
793.174,0.0,2000,26
776.623,0.0,2000,26
730.078,0.0,2000,26
721.314,0.0,2000,26
1789.866,0.0,2000,26
1810.445,0.0,2000,26
1803.482,0.0,2000,26
1844.245,0.0,2000,26
14662.122,13275.232,2000,26
783.471,0.0,2000,26
756.585,0.0,2000,26
780.26,0.0,2000,26
806.355,0.0,2000,26
870.757,0.0,2000,26
855.508,0.0,2000,26
778.745,0.0,2000,26
754.855,0.0,2000,26
748.995,0.0,2000,26
788.823,0.0,2000,26
794.351,0.0,2000,26
793.536,0.0,2000,26
750.108,0.0,2000,26
743.096,0.0,2000,26
746.39,0.0,2000,26
719.941,0.0,2000,26
727.181,0.0,2000,26
767.93,0.0,2000,26
746.847,0.0,2000,26
753.001,0.0,2000,26
731.825,0.0,2000,26
730.018,0.0,2000,26
734.271,0.0,2000,26
725.513,0.0,2000,26
726.481,0.0,2000,26
810.667,0.0,2000,26
730.919,0.0,2000,26
726.175,0.0,2000,26
726.657,0.0,2000,26
740.502,0.0,2000,26
775.726,0.0,2000,26
772.511,0.0,2000,26
737.299,0.0,2000,26
728.205,0.0,2000,26
7087.982,6311.09,2000,26
755.862,0.0,2000,26
801.391,0.0,2000,26
784.199,0.0,2000,26
804.29,0.0,2000,26
830.199,0.0,2000,26
824.2,0.0,2000,26
794.493,0.0,2000,26
756.664,0.0,2000,26
748.058,0.0,2000,26
726.781,0.0,2000,26
739.701,0.0,2000,26
721.762,0.0,2000,26
767.76,0.0,2000,26
750.496,0.0,2000,26
728.252,0.0,2000,26
725.645,0.0,2000,26
729.761,0.0,2000,26
733.969,0.0,2000,26
747.438,0.0,2000,26
737.185,0.0,2000,26
759.342,0.0,2000,26
725.508,0.0,2000,26
724.265,0.0,2000,26
771.169,0.0,2000,26
791.546,0.0,2000,26
759.415,0.0,2000,26
720.561,0.0,2000,26
724.876,0.0,2000,26
6743.161,5995.447,2000,26
725.051,0.0,2000,26
736.173,0.0,2000,26
740.178,0.0,2000,26
767.414,0.0,2000,26
775.029,0.0,2000,26
777.756,0.0,2000,26
773.214,0.0,2000,26
749.765,0.0,2000,26
765.711,0.0,2000,26
764.525,0.0,2000,26
791.266,0.0,2000,26
788.46,0.0,2000,26
744.091,0.0,2000,26
761.814,0.0,2000,26
727.277,0.0,2000,26
719.449,0.0,2000,26
723.45,0.0,2000,26
754.515,0.0,2000,26
761.427,0.0,2000,26
727.943,0.0,2000,26
733.188,0.0,2000,26
731.031,0.0,2000,26
735.261,0.0,2000,26
723.939,0.0,2000,26
744.138,0.0,2000,26
6329.134,5551.967,2000,26
754.283,0.0,2000,26
789.351,0.0,2000,26
777.205,0.0,2000,26
774.636,0.0,2000,26
825.742,0.0,2000,26
820.241,0.0,2000,26
798.43,0.0,2000,26
749.717,0.0,2000,26
734.333,0.0,2000,26
721.557,0.0,2000,26
732.915,0.0,2000,26
745.706,0.0,2000,26
763.701,0.0,2000,26
728.484,0.0,2000,26
724.724,0.0,2000,26
748.055,0.0,2000,26
804.334,0.0,2000,26
815.942,0.0,2000,26
770.546,0.0,2000,26
735.944,0.0,2000,26
722.542,0.0,2000,26
6273.774,5525.38,2000,26
731.02,0.0,2000,26
741.234,0.0,2000,26
743.843,0.0,2000,26
774.991,0.0,2000,26
768.395,0.0,2000,26
