times,gctimes,memory,allocs
1015.585,0.0,2288,26
1038.621,0.0,2288,26
999.533,0.0,2288,26
1013.799,0.0,2288,26
986.652,0.0,2288,26
947.335,0.0,2288,26
957.785,0.0,2288,26
1102.488,0.0,2288,26
1218.082,0.0,2288,26
1235.275,0.0,2288,26
1304.462,0.0,2288,26
1377.865,0.0,2288,26
1382.168,0.0,2288,26
1293.438,0.0,2288,26
908.274,0.0,2288,26
906.319,0.0,2288,26
894.561,0.0,2288,26
927.312,0.0,2288,26
925.52,0.0,2288,26
895.428,0.0,2288,26
898.801,0.0,2288,26
892.982,0.0,2288,26
902.319,0.0,2288,26
891.417,0.0,2288,26
922.075,0.0,2288,26
884.036,0.0,2288,26
900.629,0.0,2288,26
901.345,0.0,2288,26
1445.633,0.0,2288,26
1558.633,0.0,2288,26
1547.958,0.0,2288,26
1546.386,0.0,2288,26
1559.713,0.0,2288,26
1549.554,0.0,2288,26
1594.049,0.0,2288,26
1628.629,0.0,2288,26
1627.233,0.0,2288,26
2095.173,0.0,2288,26
2102.736,0.0,2288,26
2156.656,0.0,2288,26
2172.818,0.0,2288,26
2153.721,0.0,2288,26
2169.34,0.0,2288,26
2163.427,0.0,2288,26
2161.848,0.0,2288,26
2158.696,0.0,2288,26
2164.246,0.0,2288,26
2159.3,0.0,2288,26
2169.556,0.0,2288,26
2167.426,0.0,2288,26
2164.497,0.0,2288,26
2163.998,0.0,2288,26
2171.597,0.0,2288,26
2167.988,0.0,2288,26
2131.817,0.0,2288,26
2223.695,0.0,2288,26
2166.032,0.0,2288,26
2134.901,0.0,2288,26
25464.855,24407.016,2288,26
959.626,0.0,2288,26
980.054,0.0,2288,26
982.84,0.0,2288,26
956.343,0.0,2288,26
945.488,0.0,2288,26
964.869,0.0,2288,26
952.936,0.0,2288,26
917.414,0.0,2288,26
918.682,0.0,2288,26
912.134,0.0,2288,26
946.728,0.0,2288,26
906.183,0.0,2288,26
889.826,0.0,2288,26
895.148,0.0,2288,26
902.528,0.0,2288,26
924.733,0.0,2288,26
917.775,0.0,2288,26
911.992,0.0,2288,26
923.546,0.0,2288,26
911.484,0.0,2288,26
907.132,0.0,2288,26
909.694,0.0,2288,26
892.156,0.0,2288,26
895.321,0.0,2288,26
883.768,0.0,2288,26
883.668,0.0,2288,26
878.28,0.0,2288,26
895.246,0.0,2288,26
881.064,0.0,2288,26
873.685,0.0,2288,26
867.974,0.0,2288,26
874.575,0.0,2288,26
892.852,0.0,2288,26
871.493,0.0,2288,26
875.436,0.0,2288,26
872.611,0.0,2288,26
883.068,0.0,2288,26
1389.055,0.0,2288,26
2142.29,0.0,2288,26
2168.738,0.0,2288,26
2157.608,0.0,2288,26
2160.687,0.0,2288,26
2159.065,0.0,2288,26
2155.949,0.0,2288,26
2162.513,0.0,2288,26
2162.014,0.0,2288,26
2160.001,0.0,2288,26
2161.096,0.0,2288,26
2164.736,0.0,2288,26
2175.074,0.0,2288,26
2301.378,0.0,2288,26
2124.734,0.0,2288,26
2230.232,0.0,2288,26
