times,gctimes,memory,allocs
903.905,0.0,2288,26
948.532,0.0,2288,26
981.325,0.0,2288,26
996.483,0.0,2288,26
1042.688,0.0,2288,26
1004.291,0.0,2288,26
996.045,0.0,2288,26
975.426,0.0,2288,26
937.722,0.0,2288,26
916.568,0.0,2288,26
932.758,0.0,2288,26
958.345,0.0,2288,26
978.133,0.0,2288,26
923.052,0.0,2288,26
923.614,0.0,2288,26
904.023,0.0,2288,26
917.692,0.0,2288,26
920.042,0.0,2288,26
916.453,0.0,2288,26
919.862,0.0,2288,26
902.011,0.0,2288,26
896.789,0.0,2288,26
898.015,0.0,2288,26
911.174,0.0,2288,26
895.307,0.0,2288,26
890.141,0.0,2288,26
879.057,0.0,2288,26
880.658,0.0,2288,26
883.183,0.0,2288,26
881.688,0.0,2288,26
886.066,0.0,2288,26
886.323,0.0,2288,26
897.293,0.0,2288,26
902.994,0.0,2288,26
920.172,0.0,2288,26
1204.73,0.0,2288,26
2111.872,0.0,2288,26
2104.405,0.0,2288,26
2131.704,0.0,2288,26
2170.134,0.0,2288,26
2153.703,0.0,2288,26
2168.34,0.0,2288,26
2143.005,0.0,2288,26
2151.737,0.0,2288,26
2138.311,0.0,2288,26
2127.587,0.0,2288,26
2121.831,0.0,2288,26
2136.788,0.0,2288,26
2171.777,0.0,2288,26
2254.627,0.0,2288,26
2137.877,0.0,2288,26
2221.275,0.0,2288,26
2157.322,0.0,2288,26
2185.753,0.0,2288,26
2176.097,0.0,2288,26
25579.495,23517.874,2288,26
900.972,0.0,2288,26
928.314,0.0,2288,26
947.311,0.0,2288,26
969.268,0.0,2288,26
966.586,0.0,2288,26
997.776,0.0,2288,26
996.188,0.0,2288,26
970.958,0.0,2288,26
933.278,0.0,2288,26
919.828,0.0,2288,26
929.007,0.0,2288,26
908.394,0.0,2288,26
916.661,0.0,2288,26
937.08,0.0,2288,26
938.545,0.0,2288,26
907.92,0.0,2288,26
899.252,0.0,2288,26
891.78,0.0,2288,26
906.427,0.0,2288,26
905.742,0.0,2288,26
883.925,0.0,2288,26
884.735,0.0,2288,26
887.289,0.0,2288,26
899.674,0.0,2288,26
886.706,0.0,2288,26
892.626,0.0,2288,26
880.427,0.0,2288,26
1181.33,0.0,2288,26
878.821,0.0,2288,26
874.874,0.0,2288,26
950.437,0.0,2288,26
886.897,0.0,2288,26
896.037,0.0,2288,26
872.607,0.0,2288,26
873.4,0.0,2288,26
874.06,0.0,2288,26
901.243,0.0,2288,26
1897.709,0.0,2288,26
2100.443,0.0,2288,26
2150.72,0.0,2288,26
14145.494,13091.932,2288,26
902.25,0.0,2288,26
904.006,0.0,2288,26
911.82,0.0,2288,26
968.078,0.0,2288,26
966.827,0.0,2288,26
957.716,0.0,2288,26
963.053,0.0,2288,26
1095.512,0.0,2288,26
1003.913,0.0,2288,26
924.567,0.0,2288,26
915.439,0.0,2288,26
931.176,0.0,2288,26
941.258,0.0,2288,26
918.068,0.0,2288,26
895.821,0.0,2288,26
893.51,0.0,2288,26
917.8,0.0,2288,26
936.346,0.0,2288,26
892.321,0.0,2288,26
893.206,0.0,2288,26
944.203,0.0,2288,26
947.476,0.0,2288,26
884.388,0.0,2288,26
881.229,0.0,2288,26
889.132,0.0,2288,26
888.635,0.0,2288,26
883.428,0.0,2288,26
882.444,0.0,2288,26
877.115,0.0,2288,26
900.989,0.0,2288,26
878.342,0.0,2288,26
879.678,0.0,2288,26
7961.209,7057.471,2288,26
891.155,0.0,2288,26
910.708,0.0,2288,26
999.711,0.0,2288,26
969.412,0.0,2288,26
942.997,0.0,2288,26
974.215,0.0,2288,26
1008.579,0.0,2288,26
1055.675,0.0,2288,26
995.527,0.0,2288,26
905.053,0.0,2288,26
977.665,0.0,2288,26
929.168,0.0,2288,26
908.205,0.0,2288,26
941.016,0.0,2288,26
978.353,0.0,2288,26
940.033,0.0,2288,26
893.977,0.0,2288,26
885.14,0.0,2288,26
938.27,0.0,2288,26
948.615,0.0,2288,26
885.416,0.0,2288,26
892.014,0.0,2288,26
889.132,0.0,2288,26
890.839,0.0,2288,26
879.221,0.0,2288,26
877.636,0.0,2288,26
876.259,0.0,2288,26
900.303,0.0,2288,26
880.276,0.0,2288,26
8128.899,7226.879,2288,26
887.054,0.0,2288,26
887.237,0.0,2288,26
912.47,0.0,2288,26
892.126,0.0,2288,26
927.695,0.0,2288,26
949.917,0.0,2288,26
950.707,0.0,2288,26
1011.66,0.0,2288,26
940.408,0.0,2288,26
922.331,0.0,2288,26
910.092,0.0,2288,26
930.163,0.0,2288,26
932.682,0.0,2288,26
917.062,0.0,2288,26
899.802,0.0,2288,26
907.766,0.0,2288,26
1351.499,0.0,2288,26
1024.817,0.0,2288,26
1021.288,0.0,2288,26
962.395,0.0,2288,26
886.816,0.0,2288,26
890.027,0.0,2288,26
878.415,0.0,2288,26
923.36,0.0,2288,26
882.323,0.0,2288,26
7599.466,6679.499,2288,26
895.454,0.0,2288,26
916.572,0.0,2288,26
929.74,0.0,2288,26
958.489,0.0,2288,26
949.593,0.0,2288,26
971.817,0.0,2288,26
944.166,0.0,2288,26
965.526,0.0,2288,26
912.634,0.0,2288,26
908.018,0.0,2288,26
893.774,0.0,2288,26
908.553,0.0,2288,26
912.436,0.0,2288,26
931.84,0.0,2288,26
912.841,0.0,2288,26
882.911,0.0,2288,26
907.439,0.0,2288,26
885.19,0.0,2288,26
892.243,0.0,2288,26
884.917,0.0,2288,26
898.152,0.0,2288,26
893.166,0.0,2288,26
884.242,0.0,2288,26
7251.387,6348.028,2288,26
1022.998,0.0,2288,26
965.42,0.0,2288,26
1064.689,0.0,2288,26
991.984,0.0,2288,26
931.338,0.0,2288,26
947.291,0.0,2288,26
960.829,0.0,2288,26
986.266,0.0,2288,26
941.757,0.0,2288,26
923.266,0.0,2288,26
909.483,0.0,2288,26
927.61,0.0,2288,26
931.448,0.0,2288,26
917.555,0.0,2288,26
899.815,0.0,2288,26
907.468,0.0,2288,26
895.958,0.0,2288,26
938.034,0.0,2288,26
890.397,0.0,2288,26
902.735,0.0,2288,26
888.269,0.0,2288,26
7247.324,6317.668,2288,26
905.756,0.0,2288,26
915.596,0.0,2288,26
938.113,0.0,2288,26
944.344,0.0,2288,26
977.393,0.0,2288,26
961.4,0.0,2288,26
943.527,0.0,2288,26
931.873,0.0,2288,26
915.818,0.0,2288,26
898.785,0.0,2288,26
893.306,0.0,2288,26
903.252,0.0,2288,26
1010.596,0.0,2288,26
922.148,0.0,2288,26
936.298,0.0,2288,26
909.659,0.0,2288,26
927.719,0.0,2288,26
942.838,0.0,2288,26
6976.09,6032.019,2288,26
861.177,0.0,2288,26
894.105,0.0,2288,26
887.846,0.0,2288,26
892.672,0.0,2288,26
3837.194,0.0,2288,26
1106.438,0.0,2288,26
953.44,0.0,2288,26
1157.244,0.0,2288,26
1048.365,0.0,2288,26
1286.228,0.0,2288,26
1218.994,0.0,2288,26
1348.973,0.0,2288,26
1433.599,0.0,2288,26
1426.806,0.0,2288,26
1496.367,0.0,2288,26
1630.364,0.0,2288,26
1383.731,0.0,2288,26
1417.483,0.0,2288,26
12902.729,11653.3,2288,26
1160.05,0.0,2288,26
1034.712,0.0,2288,26
1010.315,0.0,2288,26
1002.273,0.0,2288,26
1131.111,0.0,2288,26
1115.207,0.0,2288,26
1011.315,0.0,2288,26
1000.431,0.0,2288,26
971.662,0.0,2288,26
971.952,0.0,2288,26
973.512,0.0,2288,26
971.556,0.0,2288,26
1060.169,0.0,2288,26
983.078,0.0,2288,26
976.759,0.0,2288,26
952.645,0.0,2288,26
6766.565,5810.473,2288,26
909.184,0.0,2288,26
895.466,0.0,2288,26
1141.403,0.0,2288,26
1035.173,0.0,2288,26
917.453,0.0,2288,26
937.665,0.0,2288,26
939.152,0.0,2288,26
977.955,0.0,2288,26
963.095,0.0,2288,26
933.285,0.0,2288,26
912.575,0.0,2288,26
905.063,0.0,2288,26
923.34,0.0,2288,26
928.913,0.0,2288,26
898.384,0.0,2288,26
891.552,0.0,2288,26
911.198,0.0,2288,26
6738.52,5814.526,2288,26
914.143,0.0,2288,26
909.576,0.0,2288,26
919.88,0.0,2288,26
938.116,0.0,2288,26
950.407,0.0,2288,26
967.347,0.0,2288,26
937.029,0.0,2288,26
928.395,0.0,2288,26
901.58,0.0,2288,26
908.337,0.0,2288,26
889.915,0.0,2288,26
964.646,0.0,2288,26
917.138,0.0,2288,26
932.99,0.0,2288,26
892.528,0.0,2288,26
891.063,0.0,2288,26
6622.952,5710.504,2288,26
878.296,0.0,2288,26
893.818,0.0,2288,26
891.073,0.0,2288,26
903.534,0.0,2288,26
916.026,0.0,2288,26
945.888,0.0,2288,26
937.071,0.0,2288,26
992.491,0.0,2288,26
952.436,0.0,2288,26
921.833,0.0,2288,26
914.457,0.0,2288,26
900.954,0.0,2288,26
930.536,0.0,2288,26
929.422,0.0,2288,26
900.468,0.0,2288,26
882.615,0.0,2288,26
6877.58,5930.585,2288,26
885.509,0.0,2288,26
950.696,0.0,2288,26
979.788,0.0,2288,26
938.331,0.0,2288,26
935.735,0.0,2288,26
973.29,0.0,2288,26
953.615,0.0,2288,26
943.0,0.0,2288,26
927.463,0.0,2288,26
904.612,0.0,2288,26
909.761,0.0,2288,26
899.267,0.0,2288,26
903.888,0.0,2288,26
919.203,0.0,2288,26
932.843,0.0,2288,26
894.941,0.0,2288,26
889.333,0.0,2288,26
6640.538,5730.344,2288,26
875.985,0.0,2288,26
891.121,0.0,2288,26
892.667,0.0,2288,26
906.907,0.0,2288,26
917.672,0.0,2288,26
933.302,0.0,2288,26
935.135,0.0,2288,26
1019.259,0.0,2288,26
1001.882,0.0,2288,26
923.488,0.0,2288,26
907.822,0.0,2288,26
906.132,0.0,2288,26
1003.808,0.0,2288,26
932.558,0.0,2288,26
894.078,0.0,2288,26
891.566,0.0,2288,26
6793.089,5853.882,2288,26
893.383,0.0,2288,26
916.932,0.0,2288,26
914.222,0.0,2288,26
938.496,0.0,2288,26
929.561,0.0,2288,26
969.704,0.0,2288,26
938.188,0.0,2288,26
947.672,0.0,2288,26
910.629,0.0,2288,26
906.898,0.0,2288,26
912.983,0.0,2288,26
896.84,0.0,2288,26
897.302,0.0,2288,26
930.81,0.0,2288,26
921.993,0.0,2288,26
886.46,0.0,2288,26
893.39,0.0,2288,26
6676.733,5768.302,2288,26
887.655,0.0,2288,26
893.535,0.0,2288,26
892.86,0.0,2288,26
917.162,0.0,2288,26
922.716,0.0,2288,26
938.14,0.0,2288,26
939.493,0.0,2288,26
1003.323,0.0,2288,26
931.024,0.0,2288,26
920.424,0.0,2288,26
906.67,0.0,2288,26
902.621,0.0,2288,26
934.347,0.0,2288,26
918.722,0.0,2288,26
896.551,0.0,2288,26
885.407,0.0,2288,26
6740.338,5800.661,2288,26
893.257,0.0,2288,26
920.767,0.0,2288,26
913.766,0.0,2288,26
933.834,0.0,2288,26
929.386,0.0,2288,26
958.423,0.0,2288,26
1051.739,0.0,2288,26
960.354,0.0,2288,26
907.312,0.0,2288,26
905.494,0.0,2288,26
911.459,0.0,2288,26
897.836,0.0,2288,26
893.494,0.0,2288,26
933.49,0.0,2288,26
917.597,0.0,2288,26
888.615,0.0,2288,26
886.38,0.0,2288,26
6668.672,5695.549,2288,26
917.462,0.0,2288,26
890.73,0.0,2288,26
890.614,0.0,2288,26
909.894,0.0,2288,26
927.725,0.0,2288,26
936.376,0.0,2288,26
938.66,0.0,2288,26
993.358,0.0,2288,26
933.049,0.0,2288,26
914.565,0.0,2288,26
905.758,0.0,2288,26
908.976,0.0,2288,26
929.403,0.0,2288,26
908.499,0.0,2288,26
894.067,0.0,2288,26
888.576,0.0,2288,26
6724.181,5795.122,2288,26
894.591,0.0,2288,26
928.868,0.0,2288,26
920.752,0.0,2288,26
937.88,0.0,2288,26
932.957,0.0,2288,26
961.416,0.0,2288,26
962.423,0.0,2288,26
951.659,0.0,2288,26
905.427,0.0,2288,26
904.81,0.0,2288,26
907.938,0.0,2288,26
904.092,0.0,2288,26
898.442,0.0,2288,26
930.33,0.0,2288,26
923.518,0.0,2288,26
885.933,0.0,2288,26
6604.644,5689.713,2288,26
875.371,0.0,2288,26
891.104,0.0,2288,26
889.594,0.0,2288,26
894.9,0.0,2288,26
934.961,0.0,2288,26
932.109,0.0,2288,26
936.98,0.0,2288,26
955.548,0.0,2288,26
993.678,0.0,2288,26
918.706,0.0,2288,26
908.22,0.0,2288,26
903.853,0.0,2288,26
904.233,0.0,2288,26
950.542,0.0,2288,26
903.368,0.0,2288,26
893.155,0.0,2288,26
891.547,0.0,2288,26
6687.409,5767.31,2288,26
887.437,0.0,2288,26
910.486,0.0,2288,26
934.288,0.0,2288,26
937.237,0.0,2288,26
930.104,0.0,2288,26
959.007,0.0,2288,26
996.877,0.0,2288,26
978.185,0.0,2288,26
902.694,0.0,2288,26
904.957,0.0,2288,26
943.555,0.0,2288,26
957.717,0.0,2288,26
901.809,0.0,2288,26
933.32,0.0,2288,26
935.214,0.0,2288,26
943.208,0.0,2288,26
6714.286,5778.249,2288,26
937.64,0.0,2288,26
