times,gctimes,memory,allocs
102.803,0.0,0,0
100.052,0.0,0,0
98.503,0.0,0,0
93.06,0.0,0,0
92.648,0.0,0,0
91.624,0.0,0,0
94.339,0.0,0,0
93.238,0.0,0,0
93.934,0.0,0,0
92.217,0.0,0,0
117.673,0.0,0,0
98.325,0.0,0,0
98.436,0.0,0,0
98.92,0.0,0,0
102.305,0.0,0,0
99.217,0.0,0,0
99.659,0.0,0,0
98.062,0.0,0,0
102.799,0.0,0,0
98.939,0.0,0,0
101.073,0.0,0,0
99.33,0.0,0,0
105.485,0.0,0,0
91.749,0.0,0,0
92.333,0.0,0,0
94.081,0.0,0,0
93.318,0.0,0,0
93.639,0.0,0,0
93.647,0.0,0,0
92.166,0.0,0,0
93.209,0.0,0,0
91.791,0.0,0,0
91.957,0.0,0,0
93.791,0.0,0,0
90.208,0.0,0,0
92.91,0.0,0,0
94.001,0.0,0,0
92.497,0.0,0,0
93.981,0.0,0,0
93.265,0.0,0,0
92.917,0.0,0,0
93.092,0.0,0,0
94.654,0.0,0,0
92.812,0.0,0,0
93.109,0.0,0,0
93.665,0.0,0,0
94.643,0.0,0,0
91.935,0.0,0,0
95.645,0.0,0,0
95.966,0.0,0,0
94.299,0.0,0,0
99.665,0.0,0,0
117.549,0.0,0,0
97.308,0.0,0,0
101.041,0.0,0,0
99.159,0.0,0,0
101.048,0.0,0,0
98.124,0.0,0,0
98.531,0.0,0,0
99.872,0.0,0,0
100.68,0.0,0,0
98.052,0.0,0,0
108.672,0.0,0,0
94.352,0.0,0,0
91.672,0.0,0,0
93.975,0.0,0,0
92.599,0.0,0,0
92.455,0.0,0,0
90.892,0.0,0,0
92.227,0.0,0,0
92.193,0.0,0,0
92.305,0.0,0,0
93.524,0.0,0,0
93.983,0.0,0,0
92.063,0.0,0,0
91.832,0.0,0,0
92.063,0.0,0,0
92.787,0.0,0,0
92.642,0.0,0,0
93.96,0.0,0,0
91.926,0.0,0,0
93.665,0.0,0,0
94.364,0.0,0,0
91.367,0.0,0,0
93.459,0.0,0,0
92.635,0.0,0,0
92.696,0.0,0,0
91.954,0.0,0,0
93.05,0.0,0,0
94.296,0.0,0,0
94.665,0.0,0,0
94.627,0.0,0,0
94.293,0.0,0,0
114.828,0.0,0,0
101.064,0.0,0,0
98.645,0.0,0,0
98.101,0.0,0,0
98.383,0.0,0,0
98.583,0.0,0,0
97.707,0.0,0,0
99.079,0.0,0,0
97.947,0.0,0,0
99.915,0.0,0,0
100.338,0.0,0,0
109.536,0.0,0,0
92.008,0.0,0,0
93.229,0.0,0,0
91.674,0.0,0,0
93.451,0.0,0,0
93.115,0.0,0,0
92.758,0.0,0,0
91.964,0.0,0,0
91.962,0.0,0,0
93.22,0.0,0,0
92.963,0.0,0,0
92.476,0.0,0,0
92.037,0.0,0,0
92.303,0.0,0,0
92.83,0.0,0,0
94.312,0.0,0,0
94.36,0.0,0,0
92.994,0.0,0,0
92.52,0.0,0,0
92.929,0.0,0,0
92.377,0.0,0,0
93.014,0.0,0,0
93.077,0.0,0,0
91.654,0.0,0,0
91.015,0.0,0,0
90.596,0.0,0,0
93.362,0.0,0,0
93.214,0.0,0,0
92.678,0.0,0,0
91.797,0.0,0,0
95.94,0.0,0,0
117.36,0.0,0,0
98.194,0.0,0,0
100.941,0.0,0,0
99.357,0.0,0,0
101.759,0.0,0,0
99.878,0.0,0,0
101.026,0.0,0,0
98.421,0.0,0,0
99.672,0.0,0,0
101.52,0.0,0,0
110.047,0.0,0,0
91.784,0.0,0,0
