times,gctimes,memory,allocs
5346.406,0.0,2368,51
5435.375,0.0,2368,51
5366.407,0.0,2368,51
5334.155,0.0,2368,51
5326.994,0.0,2368,51
5325.228,0.0,2368,51
5398.604,0.0,2368,51
5332.778,0.0,2368,51
5403.005,0.0,2368,51
5494.559,0.0,2368,51
5496.139,0.0,2368,51
5376.56,0.0,2368,51
5421.586,0.0,2368,51
5612.506,0.0,2368,51
5442.61,0.0,2368,51
5699.088,0.0,2368,51
5454.33,0.0,2368,51
5524.833,0.0,2368,51
5495.269,0.0,2368,51
5433.707,0.0,2368,51
5387.16,0.0,2368,51
5374.331,0.0,2368,51
5292.338,0.0,2368,51
5297.781,0.0,2368,51
5308.776,0.0,2368,51
5291.838,0.0,2368,51
5300.109,0.0,2368,51
5292.372,0.0,2368,51
5290.986,0.0,2368,51
5334.953,0.0,2368,51
5325.823,0.0,2368,51
5350.512,0.0,2368,51
5355.237,0.0,2368,51
5336.119,0.0,2368,51
5402.633,0.0,2368,51
5689.009,0.0,2368,51
6756.564,0.0,2368,51
7049.679,0.0,2368,51
6887.969,0.0,2368,51
6832.402,0.0,2368,51
7060.986,0.0,2368,51
6914.754,0.0,2368,51
7008.491,0.0,2368,51
7011.734,0.0,2368,51
6994.856,0.0,2368,51
7002.797,0.0,2368,51
7123.413,0.0,2368,51
6939.276,0.0,2368,51
7003.357,0.0,2368,51
6977.79,0.0,2368,51
6972.292,0.0,2368,51
6881.87,0.0,2368,51
6911.659,0.0,2368,51
6917.604,0.0,2368,51
30164.943,24148.645,2368,51
5355.492,0.0,2368,51
5310.664,0.0,2368,51
5353.159,0.0,2368,51
5328.181,0.0,2368,51
5334.896,0.0,2368,51
5342.207,0.0,2368,51
5361.386,0.0,2368,51
5332.544,0.0,2368,51
5330.669,0.0,2368,51
5327.9,0.0,2368,51
5399.871,0.0,2368,51
5462.882,0.0,2368,51
5348.64,0.0,2368,51
5412.823,0.0,2368,51
5632.439,0.0,2368,51
5561.986,0.0,2368,51
5452.846,0.0,2368,51
5656.973,0.0,2368,51
5477.324,0.0,2368,51
5546.219,0.0,2368,51
5474.852,0.0,2368,51
5432.235,0.0,2368,51
5526.974,0.0,2368,51
5331.663,0.0,2368,51
5394.787,0.0,2368,51
5406.071,0.0,2368,51
5357.72,0.0,2368,51
5405.514,0.0,2368,51
5337.179,0.0,2368,51
5479.694,0.0,2368,51
5736.725,0.0,2368,51
5477.516,0.0,2368,51
5391.76,0.0,2368,51
5430.326,0.0,2368,51
5325.065,0.0,2368,51
5319.929,0.0,2368,51
5505.125,0.0,2368,51
5352.05,0.0,2368,51
5330.714,0.0,2368,51
5351.611,0.0,2368,51
5591.972,0.0,2368,51
6941.568,0.0,2368,51
20827.47,15198.14,2368,51
5308.246,0.0,2368,51
5305.855,0.0,2368,51
5340.009,0.0,2368,51
5292.335,0.0,2368,51
5388.515,0.0,2368,51
5278.583,0.0,2368,51
5301.135,0.0,2368,51
5349.283,0.0,2368,51
5340.054,0.0,2368,51
5441.287,0.0,2368,51
5440.987,0.0,2368,51
5364.753,0.0,2368,51
5776.933,0.0,2368,51
5643.694,0.0,2368,51
5562.276,0.0,2368,51
5503.313,0.0,2368,51
5443.576,0.0,2368,51
5339.39,0.0,2368,51
5396.691,0.0,2368,51
5289.062,0.0,2368,51
5287.999,0.0,2368,51
5275.413,0.0,2368,51
5273.854,0.0,2368,51
5277.109,0.0,2368,51
5294.415,0.0,2368,51
5287.78,0.0,2368,51
5296.019,0.0,2368,51
5302.83,0.0,2368,51
5285.777,0.0,2368,51
5283.314,0.0,2368,51
5293.743,0.0,2368,51
5279.666,0.0,2368,51
5266.591,0.0,2368,51
5273.179,0.0,2368,51
5272.087,0.0,2368,51
5270.502,0.0,2368,51
15022.616,9638.714,2368,51
5339.748,0.0,2368,51
5336.508,0.0,2368,51
5349.713,0.0,2368,51
5348.05,0.0,2368,51
5367.823,0.0,2368,51
5354.416,0.0,2368,51
5360.227,0.0,2368,51
5461.738,0.0,2368,51
5348.178,0.0,2368,51
5403.516,0.0,2368,51
5613.376,0.0,2368,51
5327.814,0.0,2368,51
5409.143,0.0,2368,51
5519.408,0.0,2368,51
5424.217,0.0,2368,51
5780.966,0.0,2368,51
5677.137,0.0,2368,51
5634.939,0.0,2368,51
5752.884,0.0,2368,51
5792.25,0.0,2368,51
5649.327,0.0,2368,51
5664.464,0.0,2368,51
6042.821,0.0,2368,51
6042.628,0.0,2368,51
6042.49,0.0,2368,51
6033.92,0.0,2368,51
5942.489,0.0,2368,51
5473.541,0.0,2368,51
5463.855,0.0,2368,51
5599.477,0.0,2368,51
5466.722,0.0,2368,51
5557.697,0.0,2368,51
15276.144,9794.613,2368,51
5564.847,0.0,2368,51
5430.909,0.0,2368,51
5489.284,0.0,2368,51
5479.549,0.0,2368,51
5445.136,0.0,2368,51
5516.601,0.0,2368,51
5447.596,0.0,2368,51
5403.961,0.0,2368,51
5525.838,0.0,2368,51
5423.639,0.0,2368,51
5459.601,0.0,2368,51
5479.014,0.0,2368,51
5546.68,0.0,2368,51
5663.994,0.0,2368,51
5409.583,0.0,2368,51
5474.433,0.0,2368,51
5552.78,0.0,2368,51
5390.448,0.0,2368,51
5489.791,0.0,2368,51
5529.862,0.0,2368,51
5409.458,0.0,2368,51
5592.347,0.0,2368,51
5470.06,0.0,2368,51
5446.186,0.0,2368,51
5560.543,0.0,2368,51
5457.121,0.0,2368,51
5437.522,0.0,2368,51
5679.006,0.0,2368,51
14791.968,9149.573,2368,51
5348.04,0.0,2368,51
5348.511,0.0,2368,51
5285.612,0.0,2368,51
5275.059,0.0,2368,51
5256.123,0.0,2368,51
5288.427,0.0,2368,51
5639.393,0.0,2368,51
5328.247,0.0,2368,51
5389.193,0.0,2368,51
5407.334,0.0,2368,51
5338.762,0.0,2368,51
5293.659,0.0,2368,51
5389.701,0.0,2368,51
5327.902,0.0,2368,51
5423.031,0.0,2368,51
5359.73,0.0,2368,51
5446.325,0.0,2368,51
5359.838,0.0,2368,51
5343.795,0.0,2368,51
5348.332,0.0,2368,51
5371.131,0.0,2368,51
5438.095,0.0,2368,51
5447.789,0.0,2368,51
5392.68,0.0,2368,51
5418.306,0.0,2368,51
5326.406,0.0,2368,51
13997.72,8637.649,2368,51
5322.107,0.0,2368,51
5344.365,0.0,2368,51
5338.18,0.0,2368,51
5329.982,0.0,2368,51
5344.394,0.0,2368,51
7525.724,0.0,2368,51
5858.044,0.0,2368,51
5761.77,0.0,2368,51
5590.262,0.0,2368,51
5656.322,0.0,2368,51
5635.808,0.0,2368,51
5633.171,0.0,2368,51
5677.685,0.0,2368,51
5674.971,0.0,2368,51
5613.944,0.0,2368,51
5650.26,0.0,2368,51
5753.342,0.0,2368,51
5944.165,0.0,2368,51
6252.882,0.0,2368,51
6218.827,0.0,2368,51
6142.538,0.0,2368,51
6296.743,0.0,2368,51
18485.137,12409.035,2368,51
5771.001,0.0,2368,51
5693.958,0.0,2368,51
5739.38,0.0,2368,51
5572.36,0.0,2368,51
5773.974,0.0,2368,51
5641.605,0.0,2368,51
5417.524,0.0,2368,51
5501.762,0.0,2368,51
5478.459,0.0,2368,51
5366.021,0.0,2368,51
5389.76,0.0,2368,51
5294.591,0.0,2368,51
5310.657,0.0,2368,51
5288.671,0.0,2368,51
5299.527,0.0,2368,51
5353.287,0.0,2368,51
5308.066,0.0,2368,51
5295.871,0.0,2368,51
5308.059,0.0,2368,51
12377.761,7005.214,2368,51
5301.11,0.0,2368,51
5256.849,0.0,2368,51
5303.943,0.0,2368,51
5242.556,0.0,2368,51
5257.58,0.0,2368,51
5266.341,0.0,2368,51
5252.563,0.0,2368,51
5292.175,0.0,2368,51
5294.649,0.0,2368,51
5323.198,0.0,2368,51
5275.608,0.0,2368,51
5458.059,0.0,2368,51
5527.073,0.0,2368,51
5488.367,0.0,2368,51
5615.488,0.0,2368,51
5784.139,0.0,2368,51
12345.219,6678.093,2368,51
5508.327,0.0,2368,51
5523.228,0.0,2368,51
5437.157,0.0,2368,51
5506.405,0.0,2368,51
5418.829,0.0,2368,51
5276.595,0.0,2368,51
5314.586,0.0,2368,51
5275.7,0.0,2368,51
5273.847,0.0,2368,51
5294.308,0.0,2368,51
5344.472,0.0,2368,51
5289.881,0.0,2368,51
5295.897,0.0,2368,51
5269.946,0.0,2368,51
5467.765,0.0,2368,51
11496.026,6031.278,2368,51
5437.336,0.0,2368,51
5326.935,0.0,2368,51
5301.819,0.0,2368,51
5358.628,0.0,2368,51
5324.088,0.0,2368,51
5338.305,0.0,2368,51
5332.564,0.0,2368,51
5311.009,0.0,2368,51
5349.781,0.0,2368,51
5358.061,0.0,2368,51
5369.682,0.0,2368,51
5347.466,0.0,2368,51
5449.054,0.0,2368,51
5478.22,0.0,2368,51
5287.957,0.0,2368,51
5499.746,0.0,2368,51
11499.035,6057.874,2368,51
5313.108,0.0,2368,51
5401.74,0.0,2368,51
5542.773,0.0,2368,51
5452.168,0.0,2368,51
5371.581,0.0,2368,51
5541.471,0.0,2368,51
5452.787,0.0,2368,51
5392.774,0.0,2368,51
5493.117,0.0,2368,51
5386.321,0.0,2368,51
5518.663,0.0,2368,51
5481.338,0.0,2368,51
5384.715,0.0,2368,51
5436.554,0.0,2368,51
5451.873,0.0,2368,51
11214.115,5795.299,2368,51
5313.726,0.0,2368,51
5342.869,0.0,2368,51
5309.608,0.0,2368,51
5353.738,0.0,2368,51
5335.523,0.0,2368,51
5334.513,0.0,2368,51
5322.525,0.0,2368,51
5349.089,0.0,2368,51
5423.331,0.0,2368,51
5366.066,0.0,2368,51
5390.921,0.0,2368,51
5388.567,0.0,2368,51
5435.589,0.0,2368,51
5430.491,0.0,2368,51
5356.767,0.0,2368,51
5405.048,0.0,2368,51
11329.657,5956.633,2368,51
5383.758,0.0,2368,51
5553.292,0.0,2368,51
5264.473,0.0,2368,51
5458.496,0.0,2368,51
5429.923,0.0,2368,51
5401.48,0.0,2368,51
5427.768,0.0,2368,51
5491.891,0.0,2368,51
5331.781,0.0,2368,51
5388.02,0.0,2368,51
5320.819,0.0,2368,51
5282.203,0.0,2368,51
5294.248,0.0,2368,51
5282.03,0.0,2368,51
5304.495,0.0,2368,51
11179.521,5808.462,2368,51
5300.216,0.0,2368,51
5321.268,0.0,2368,51
5327.758,0.0,2368,51
5296.139,0.0,2368,51
5324.87,0.0,2368,51
5320.81,0.0,2368,51
5303.782,0.0,2368,51
5453.893,0.0,2368,51
5431.079,0.0,2368,51
5525.663,0.0,2368,51
5376.387,0.0,2368,51
5346.045,0.0,2368,51
5452.957,0.0,2368,51
5476.041,0.0,2368,51
5342.578,0.0,2368,51
5360.758,0.0,2368,51
11299.123,5885.252,2368,51
5346.822,0.0,2368,51
5266.754,0.0,2368,51
5263.744,0.0,2368,51
5265.305,0.0,2368,51
5265.368,0.0,2368,51
5283.158,0.0,2368,51
5398.697,0.0,2368,51
5367.305,0.0,2368,51
5329.588,0.0,2368,51
5434.678,0.0,2368,51
5445.665,0.0,2368,51
5476.262,0.0,2368,51
5287.374,0.0,2368,51
5281.955,0.0,2368,51
5337.117,0.0,2368,51
11106.635,5775.421,2368,51
5305.968,0.0,2368,51
5335.992,0.0,2368,51
5342.052,0.0,2368,51
5316.493,0.0,2368,51
5315.284,0.0,2368,51
5308.16,0.0,2368,51
5314.286,0.0,2368,51
5339.338,0.0,2368,51
5327.786,0.0,2368,51
5356.83,0.0,2368,51
5314.801,0.0,2368,51
