times,gctimes,memory,allocs
4.307167218e6,467032.353,4250432,22992
4.26617532e6,421769.847,4250432,22992
4.272059554e6,422281.654,4250432,22992
4.351374052e6,423485.1,4250432,22992
4.338319925e6,422941.785,4250432,22992
4.315294492e6,422861.685,4250432,22992
4.297128829e6,422690.987,4250432,22992
4.269723082e6,418732.818,4250432,22992
4.290291975e6,425613.204,4250432,22992
4.269507726e6,420936.508,4250432,22992
4.278591344e6,422420.274,4250432,22992
4.263890049e6,419454.195,4250432,22992
4.276423279e6,417342.897,4250432,22992
4.34309181e6,423844.531,4250432,22992
4.374969549e6,433159.124,4250432,22992
4.354138036e6,423529.943,4250432,22992
4.379266322e6,432092.786,4250432,22992
4.364928875e6,426885.611,4250432,22992
4.368790851e6,429275.831,4250432,22992
4.363823922e6,425591.11,4250432,22992
4.349717272e6,422870.01,4250432,22992
4.396159905e6,433773.218,4250432,22992
