times,gctimes,memory,allocs
152.927,0.0,0,0
156.244,0.0,0,0
154.84,0.0,0,0
153.494,0.0,0,0
153.568,0.0,0,0
154.691,0.0,0,0
157.294,0.0,0,0
156.674,0.0,0,0
155.427,0.0,0,0
155.947,0.0,0,0
156.614,0.0,0,0
156.151,0.0,0,0
153.322,0.0,0,0
153.531,0.0,0,0
162.466,0.0,0,0
156.124,0.0,0,0
156.536,0.0,0,0
156.121,0.0,0,0
155.908,0.0,0,0
154.358,0.0,0,0
154.035,0.0,0,0
156.954,0.0,0,0
156.001,0.0,0,0
154.383,0.0,0,0
155.677,0.0,0,0
154.207,0.0,0,0
156.15,0.0,0,0
154.21,0.0,0,0
156.474,0.0,0,0
155.906,0.0,0,0
156.473,0.0,0,0
154.394,0.0,0,0
154.851,0.0,0,0
156.356,0.0,0,0
155.907,0.0,0,0
154.03,0.0,0,0
156.511,0.0,0,0
154.579,0.0,0,0
156.03,0.0,0,0
157.265,0.0,0,0
156.496,0.0,0,0
154.374,0.0,0,0
154.85,0.0,0,0
156.084,0.0,0,0
155.207,0.0,0,0
154.838,0.0,0,0
154.349,0.0,0,0
153.459,0.0,0,0
154.864,0.0,0,0
154.167,0.0,0,0
154.632,0.0,0,0
155.398,0.0,0,0
153.528,0.0,0,0
156.659,0.0,0,0
156.336,0.0,0,0
154.439,0.0,0,0
156.43,0.0,0,0
154.107,0.0,0,0
156.17,0.0,0,0
154.544,0.0,0,0
157.603,0.0,0,0
155.505,0.0,0,0
154.72,0.0,0,0
153.873,0.0,0,0
154.174,0.0,0,0
157.054,0.0,0,0
156.139,0.0,0,0
154.341,0.0,0,0
156.339,0.0,0,0
155.252,0.0,0,0
153.875,0.0,0,0
155.424,0.0,0,0
154.129,0.0,0,0
154.318,0.0,0,0
155.19,0.0,0,0
154.426,0.0,0,0
154.146,0.0,0,0
153.914,0.0,0,0
157.036,0.0,0,0
156.203,0.0,0,0
155.197,0.0,0,0
156.062,0.0,0,0
156.455,0.0,0,0
156.513,0.0,0,0
155.784,0.0,0,0
156.152,0.0,0,0
154.487,0.0,0,0
156.358,0.0,0,0
157.364,0.0,0,0
156.125,0.0,0,0
156.855,0.0,0,0
156.889,0.0,0,0
154.564,0.0,0,0
