times,gctimes,memory,allocs
1.775521926e6,209242.47,2084788,20042
1.681493356e6,126244.312,2084788,20042
1.676123784e6,120017.921,2084788,20042
1.681069222e6,121308.352,2084788,20042
1.67804698e6,118544.97,2084788,20042
1.689770093e6,121660.874,2084788,20042
1.707442985e6,128600.706,2084788,20042
1.694164544e6,123692.198,2084788,20042
1.682600738e6,115906.245,2084788,20042
1.677152973e6,110609.027,2084788,20042
1.671007384e6,111326.636,2084788,20042
1.678283764e6,111697.487,2084788,20042
1.708621686e6,120542.999,2084788,20042
1.692545754e6,114816.701,2084788,20042
1.683401798e6,111156.233,2084788,20042
1.699187611e6,116522.497,2084788,20042
1.681482016e6,112752.94,2084788,20042
2.057481122e6,418915.917,2084788,20042
1.708276016e6,150863.586,2084788,20042
1.728379926e6,152275.663,2084788,20042
1.717353233e6,150368.518,2084788,20042
1.705422742e6,146743.921,2084788,20042
1.712803752e6,147481.035,2084788,20042
1.705975559e6,146037.275,2084788,20042
1.726321535e6,152794.894,2084788,20042
1.707883845e6,143521.382,2084788,20042
1.70220292e6,137151.857,2084788,20042
1.707956763e6,143705.486,2084788,20042
1.717072258e6,141289.4,2084788,20042
1.705813791e6,140719.129,2084788,20042
1.738232575e6,140981.301,2084788,20042
1.706992823e6,143619.357,2084788,20042
1.721106304e6,144862.379,2084788,20042
1.693494724e6,135836.136,2084788,20042
1.728415316e6,148126.421,2084788,20042
1.712242451e6,140154.651,2084788,20042
2.092367936e6,423773.535,2084788,20042
1.730746277e6,160588.673,2084788,20042
1.715824134e6,155287.792,2084788,20042
1.736127848e6,160205.409,2084788,20042
1.723144703e6,158944.457,2084788,20042
1.724240259e6,158768.886,2084788,20042
1.7101118e6,151128.466,2084788,20042
1.720306389e6,152609.31,2084788,20042
1.710036785e6,146439.515,2084788,20042
1.719855456e6,150113.075,2084788,20042
1.714812258e6,148425.287,2084788,20042
1.710215461e6,143192.167,2084788,20042
1.708006602e6,145045.127,2084788,20042
1.71440118e6,144054.287,2084788,20042
1.71054257e6,145922.179,2084788,20042
1.706049856e6,142035.626,2084788,20042
1.736221338e6,149408.319,2084788,20042
1.717946735e6,146077.777,2084788,20042
1.713204023e6,144132.603,2084788,20042
1.711045315e6,145368.662,2084788,20042
2.111286636e6,431657.124,2084788,20042
1.722489326e6,157529.274,2084788,20042
