times,gctimes,memory,allocs
4.462814731e6,202229.409,4261776,17586
4.45946535e6,195084.179,4261776,17586
4.396988529e6,188364.117,4261776,17586
4.371838937e6,181812.672,4261776,17586
4.365451224e6,178883.281,4261776,17586
4.378517357e6,186195.116,4261776,17586
4.413793443e6,189138.869,4261776,17586
4.400260966e6,188015.959,4261776,17586
4.391212774e6,179279.856,4261776,17586
4.387537945e6,181485.109,4261776,17586
4.391813626e6,187542.309,4261776,17586
4.386788509e6,179716.194,4261776,17586
4.420791768e6,190737.138,4261776,17586
4.391565161e6,179446.785,4261776,17586
4.411580183e6,187339.571,4261776,17586
4.399493062e6,182605.682,4261776,17586
4.387795483e6,177651.242,4261776,17586
4.397782472e6,179674.83,4261776,17586
4.423599849e6,187419.208,4261776,17586
4.407074413e6,179861.602,4261776,17586
4.443600337e6,191449.893,4261776,17586
