times,gctimes,memory,allocs
1014.078,0.0,2000,26
916.69,0.0,2000,26
928.844,0.0,2000,26
944.155,0.0,2000,26
878.984,0.0,2000,26
899.52,0.0,2000,26
959.776,0.0,2000,26
946.83,0.0,2000,26
924.702,0.0,2000,26
975.944,0.0,2000,26
1094.04,0.0,2000,26
874.68,0.0,2000,26
741.706,0.0,2000,26
766.019,0.0,2000,26
1261.246,0.0,2000,26
1312.973,0.0,2000,26
1284.665,0.0,2000,26
1140.036,0.0,2000,26
1320.119,0.0,2000,26
1301.089,0.0,2000,26
1339.975,0.0,2000,26
1391.844,0.0,2000,26
1370.689,0.0,2000,26
1357.815,0.0,2000,26
1371.042,0.0,2000,26
1361.015,0.0,2000,26
1376.706,0.0,2000,26
1385.326,0.0,2000,26
1379.153,0.0,2000,26
1362.331,0.0,2000,26
1409.033,0.0,2000,26
1357.843,0.0,2000,26
1372.309,0.0,2000,26
1731.868,0.0,2000,26
1808.099,0.0,2000,26
1916.568,0.0,2000,26
1865.49,0.0,2000,26
1945.874,0.0,2000,26
1884.055,0.0,2000,26
1932.884,0.0,2000,26
1905.617,0.0,2000,26
1909.723,0.0,2000,26
1890.293,0.0,2000,26
1905.73,0.0,2000,26
1891.975,0.0,2000,26
1848.453,0.0,2000,26
1840.482,0.0,2000,26
1888.216,0.0,2000,26
1926.91,0.0,2000,26
1921.498,0.0,2000,26
1922.952,0.0,2000,26
1916.573,0.0,2000,26
2015.037,0.0,2000,26
1940.257,0.0,2000,26
1930.828,0.0,2000,26
1983.943,0.0,2000,26
2027.129,0.0,2000,26
24287.862,23150.846,2000,26
748.664,0.0,2000,26
769.102,0.0,2000,26
802.041,0.0,2000,26
793.878,0.0,2000,26
779.506,0.0,2000,26
774.309,0.0,2000,26
774.407,0.0,2000,26
830.787,0.0,2000,26
856.603,0.0,2000,26
846.186,0.0,2000,26
811.424,0.0,2000,26
752.187,0.0,2000,26
756.298,0.0,2000,26
743.344,0.0,2000,26
734.102,0.0,2000,26
739.499,0.0,2000,26
744.418,0.0,2000,26
742.822,0.0,2000,26
757.804,0.0,2000,26
736.25,0.0,2000,26
738.367,0.0,2000,26
736.764,0.0,2000,26
739.606,0.0,2000,26
749.132,0.0,2000,26
734.883,0.0,2000,26
789.549,0.0,2000,26
737.288,0.0,2000,26
737.455,0.0,2000,26
749.363,0.0,2000,26
730.006,0.0,2000,26
730.759,0.0,2000,26
778.038,0.0,2000,26
727.106,0.0,2000,26
719.162,0.0,2000,26
743.387,0.0,2000,26
729.093,0.0,2000,26
726.362,0.0,2000,26
738.529,0.0,2000,26
721.362,0.0,2000,26
744.233,0.0,2000,26
727.058,0.0,2000,26
12759.388,11787.154,2000,26
747.263,0.0,2000,26
743.53,0.0,2000,26
769.009,0.0,2000,26
754.607,0.0,2000,26
765.872,0.0,2000,26
769.869,0.0,2000,26
773.606,0.0,2000,26
775.213,0.0,2000,26
896.765,0.0,2000,26
840.207,0.0,2000,26
818.688,0.0,2000,26
791.597,0.0,2000,26
778.743,0.0,2000,26
747.516,0.0,2000,26
737.048,0.0,2000,26
743.81,0.0,2000,26
744.348,0.0,2000,26
789.103,0.0,2000,26
755.361,0.0,2000,26
741.737,0.0,2000,26
735.468,0.0,2000,26
724.186,0.0,2000,26
760.331,0.0,2000,26
777.588,0.0,2000,26
733.742,0.0,2000,26
733.523,0.0,2000,26
731.959,0.0,2000,26
780.85,0.0,2000,26
826.941,0.0,2000,26
807.786,0.0,2000,26
774.604,0.0,2000,26
786.617,0.0,2000,26
771.661,0.0,2000,26
797.667,0.0,2000,26
768.891,0.0,2000,26
8079.012,7216.202,2000,26
763.612,0.0,2000,26
763.517,0.0,2000,26
778.004,0.0,2000,26
801.856,0.0,2000,26
781.411,0.0,2000,26
780.376,0.0,2000,26
766.846,0.0,2000,26
774.967,0.0,2000,26
821.959,0.0,2000,26
809.861,0.0,2000,26
808.949,0.0,2000,26
760.995,0.0,2000,26
736.554,0.0,2000,26
747.021,0.0,2000,26
759.581,0.0,2000,26
740.541,0.0,2000,26
741.745,0.0,2000,26
735.538,0.0,2000,26
745.993,0.0,2000,26
753.255,0.0,2000,26
735.314,0.0,2000,26
733.697,0.0,2000,26
732.299,0.0,2000,26
726.117,0.0,2000,26
748.887,0.0,2000,26
760.212,0.0,2000,26
752.141,0.0,2000,26
725.868,0.0,2000,26
730.478,0.0,2000,26
730.43,0.0,2000,26
7153.126,6374.878,2000,26
737.739,0.0,2000,26
802.542,0.0,2000,26
797.651,0.0,2000,26
770.879,0.0,2000,26
760.182,0.0,2000,26
783.872,0.0,2000,26
829.054,0.0,2000,26
840.04,0.0,2000,26
802.921,0.0,2000,26
796.475,0.0,2000,26
796.051,0.0,2000,26
831.765,0.0,2000,26
777.537,0.0,2000,26
742.13,0.0,2000,26
731.408,0.0,2000,26
742.366,0.0,2000,26
857.897,0.0,2000,26
781.213,0.0,2000,26
740.692,0.0,2000,26
735.982,0.0,2000,26
725.572,0.0,2000,26
806.372,0.0,2000,26
801.28,0.0,2000,26
829.55,0.0,2000,26
842.805,0.0,2000,26
744.93,0.0,2000,26
6970.585,6201.643,2000,26
721.298,0.0,2000,26
770.916,0.0,2000,26
793.458,0.0,2000,26
789.989,0.0,2000,26
770.532,0.0,2000,26
765.669,0.0,2000,26
755.76,0.0,2000,26
841.921,0.0,2000,26
830.79,0.0,2000,26
800.816,0.0,2000,26
800.284,0.0,2000,26
777.885,0.0,2000,26
774.638,0.0,2000,26
770.083,0.0,2000,26
732.452,0.0,2000,26
741.009,0.0,2000,26
741.081,0.0,2000,26
802.323,0.0,2000,26
781.437,0.0,2000,26
734.878,0.0,2000,26
736.447,0.0,2000,26
737.448,0.0,2000,26
791.07,0.0,2000,26
6531.379,5735.843,2000,26
743.913,0.0,2000,26
762.068,0.0,2000,26
749.094,0.0,2000,26
749.73,0.0,2000,26
747.797,0.0,2000,26
770.335,0.0,2000,26
787.236,0.0,2000,26
771.542,0.0,2000,26
809.197,0.0,2000,26
789.656,0.0,2000,26
815.5,0.0,2000,26
800.918,0.0,2000,26
740.71,0.0,2000,26
745.631,0.0,2000,26
729.557,0.0,2000,26
740.287,0.0,2000,26
744.946,0.0,2000,26
781.426,0.0,2000,26
733.338,0.0,2000,26
724.716,0.0,2000,26
729.465,0.0,2000,26
6374.103,5603.59,2000,26
733.226,0.0,2000,26
737.103,0.0,2000,26
748.582,0.0,2000,26
772.625,0.0,2000,26
751.868,0.0,2000,26
752.167,0.0,2000,26
751.21,0.0,2000,26
736.633,0.0,2000,26
820.485,0.0,2000,26
845.131,0.0,2000,26
789.648,0.0,2000,26
754.97,0.0,2000,26
729.198,0.0,2000,26
751.055,0.0,2000,26
730.229,0.0,2000,26
727.365,0.0,2000,26
730.541,0.0,2000,26
730.221,0.0,2000,26
731.07,0.0,2000,26
750.745,0.0,2000,26
6168.031,5405.095,2000,26
727.388,0.0,2000,26
745.621,0.0,2000,26
728.452,0.0,2000,26
746.618,0.0,2000,26
740.848,0.0,2000,26
770.432,0.0,2000,26
752.365,0.0,2000,26
853.658,0.0,2000,26
834.681,0.0,2000,26
789.791,0.0,2000,26
800.385,0.0,2000,26
754.379,0.0,2000,26
749.944,0.0,2000,26
733.583,0.0,2000,26
718.15,0.0,2000,26
729.82,0.0,2000,26
785.402,0.0,2000,26
6003.319,5223.609,2000,26
732.486,0.0,2000,26
732.375,0.0,2000,26
746.453,0.0,2000,26
768.014,0.0,2000,26
762.647,0.0,2000,26
744.571,0.0,2000,26
756.031,0.0,2000,26
745.71,0.0,2000,26
785.037,0.0,2000,26
810.312,0.0,2000,26
795.597,0.0,2000,26
778.961,0.0,2000,26
737.622,0.0,2000,26
752.701,0.0,2000,26
734.575,0.0,2000,26
736.119,0.0,2000,26
737.096,0.0,2000,26
742.196,0.0,2000,26
5969.443,5193.838,2000,26
741.256,0.0,2000,26
740.53,0.0,2000,26
737.638,0.0,2000,26
756.241,0.0,2000,26
740.921,0.0,2000,26
768.705,0.0,2000,26
759.282,0.0,2000,26
778.617,0.0,2000,26
824.89,0.0,2000,26
792.453,0.0,2000,26
825.699,0.0,2000,26
769.288,0.0,2000,26
741.498,0.0,2000,26
769.779,0.0,2000,26
729.594,0.0,2000,26
744.907,0.0,2000,26
739.347,0.0,2000,26
788.74,0.0,2000,26
5978.713,5208.864,2000,26
741.275,0.0,2000,26
760.383,0.0,2000,26
764.732,0.0,2000,26
780.461,0.0,2000,26
753.677,0.0,2000,26
758.46,0.0,2000,26
743.559,0.0,2000,26
768.67,0.0,2000,26
822.288,0.0,2000,26
791.315,0.0,2000,26
777.787,0.0,2000,26
737.022,0.0,2000,26
735.921,0.0,2000,26
743.048,0.0,2000,26
748.008,0.0,2000,26
739.883,0.0,2000,26
739.05,0.0,2000,26
5960.836,5177.705,2000,26
735.914,0.0,2000,26
732.203,0.0,2000,26
738.321,0.0,2000,26
752.522,0.0,2000,26
744.459,0.0,2000,26
777.795,0.0,2000,26
759.148,0.0,2000,26
778.294,0.0,2000,26
800.864,0.0,2000,26
787.847,0.0,2000,26
824.954,0.0,2000,26
763.945,0.0,2000,26
743.638,0.0,2000,26
744.994,0.0,2000,26
730.244,0.0,2000,26
760.922,0.0,2000,26
743.628,0.0,2000,26
789.834,0.0,2000,26
5980.888,5198.986,2000,26
760.802,0.0,2000,26
755.139,0.0,2000,26
768.967,0.0,2000,26
756.401,0.0,2000,26
752.251,0.0,2000,26
812.553,0.0,2000,26
800.77,0.0,2000,26
767.833,0.0,2000,26
799.848,0.0,2000,26
800.806,0.0,2000,26
803.862,0.0,2000,26
737.29,0.0,2000,26
734.047,0.0,2000,26
738.904,0.0,2000,26
736.404,0.0,2000,26
762.634,0.0,2000,26
734.777,0.0,2000,26
5970.641,5198.974,2000,26
737.511,0.0,2000,26
756.579,0.0,2000,26
739.72,0.0,2000,26
737.621,0.0,2000,26
743.643,0.0,2000,26
762.691,0.0,2000,26
780.358,0.0,2000,26
769.507,0.0,2000,26
811.403,0.0,2000,26
787.132,0.0,2000,26
818.903,0.0,2000,26
789.642,0.0,2000,26
745.548,0.0,2000,26
745.107,0.0,2000,26
726.567,0.0,2000,26
739.66,0.0,2000,26
732.069,0.0,2000,26
847.035,0.0,2000,26
6031.104,5255.156,2000,26
737.165,0.0,2000,26
769.42,0.0,2000,26
752.629,0.0,2000,26
755.437,0.0,2000,26
747.527,0.0,2000,26
749.58,0.0,2000,26
735.035,0.0,2000,26
762.818,0.0,2000,26
794.873,0.0,2000,26
796.927,0.0,2000,26
773.207,0.0,2000,26
731.131,0.0,2000,26
743.635,0.0,2000,26
727.72,0.0,2000,26
722.746,0.0,2000,26
727.465,0.0,2000,26
734.682,0.0,2000,26
5936.892,5175.487,2000,26
727.67,0.0,2000,26
727.937,0.0,2000,26
722.06,0.0,2000,26
752.382,0.0,2000,26
733.184,0.0,2000,26
749.579,0.0,2000,26
751.309,0.0,2000,26
757.052,0.0,2000,26
817.043,0.0,2000,26
782.609,0.0,2000,26
807.107,0.0,2000,26
766.104,0.0,2000,26
732.788,0.0,2000,26
750.944,0.0,2000,26
723.955,0.0,2000,26
731.459,0.0,2000,26
730.742,0.0,2000,26
781.387,0.0,2000,26
5982.721,5207.071,2000,26
730.854,0.0,2000,26
750.907,0.0,2000,26
754.445,0.0,2000,26
778.018,0.0,2000,26
743.606,0.0,2000,26
748.299,0.0,2000,26
730.937,0.0,2000,26
753.754,0.0,2000,26
791.588,0.0,2000,26
812.248,0.0,2000,26
783.396,0.0,2000,26
737.05,0.0,2000,26
735.922,0.0,2000,26
738.092,0.0,2000,26
755.8,0.0,2000,26
738.729,0.0,2000,26
742.354,0.0,2000,26
5941.951,5161.528,2000,26
754.643,0.0,2000,26
733.077,0.0,2000,26
746.91,0.0,2000,26
743.688,0.0,2000,26
745.879,0.0,2000,26
770.165,0.0,2000,26
764.728,0.0,2000,26
765.262,0.0,2000,26
803.432,0.0,2000,26
792.112,0.0,2000,26
829.742,0.0,2000,26
773.915,0.0,2000,26
744.08,0.0,2000,26
748.329,0.0,2000,26
725.847,0.0,2000,26
755.944,0.0,2000,26
738.962,0.0,2000,26
791.953,0.0,2000,26
6066.968,5284.837,2000,26
786.839,0.0,2000,26
828.989,0.0,2000,26
815.481,0.0,2000,26
770.488,0.0,2000,26
754.947,0.0,2000,26
784.331,0.0,2000,26
745.156,0.0,2000,26
769.054,0.0,2000,26
804.544,0.0,2000,26
797.184,0.0,2000,26
805.533,0.0,2000,26
742.067,0.0,2000,26
736.493,0.0,2000,26
744.287,0.0,2000,26
734.749,0.0,2000,26
762.693,0.0,2000,26
738.965,0.0,2000,26
6018.665,5241.842,2000,26
