times,gctimes,memory,allocs
2498.0,0.0,2208,21
6717.0,0.0,2208,21
2208.0,0.0,2208,21
1616.0,0.0,2208,21
1249.0,0.0,2208,21
2444.0,0.0,2208,21
1090.0,0.0,2208,21
1291.0,0.0,2208,21
3018.0,0.0,2208,21
1122.0,0.0,2208,21
1189.0,0.0,2208,21
1312.0,0.0,2208,21
1722.0,0.0,2208,21
1517.0,0.0,2208,21
1833.0,0.0,2208,21
984.0,0.0,2208,21
1473.0,0.0,2208,21
1712.0,0.0,2208,21
1606.0,0.0,2208,21
1083.0,0.0,2208,21
1207.0,0.0,2208,21
1613.0,0.0,2208,21
1699.0,0.0,2208,21
1156.0,0.0,2208,21
985.0,0.0,2208,21
1006.0,0.0,2208,21
1104.0,0.0,2208,21
992.0,0.0,2208,21
995.0,0.0,2208,21
1286.0,0.0,2208,21
1288.0,0.0,2208,21
1140.0,0.0,2208,21
1194.0,0.0,2208,21
1006.0,0.0,2208,21
1887.0,0.0,2208,21
1268.0,0.0,2208,21
1149.0,0.0,2208,21
1203.0,0.0,2208,21
1022.0,0.0,2208,21
1187.0,0.0,2208,21
1342.0,0.0,2208,21
1116.0,0.0,2208,21
1075.0,0.0,2208,21
1031.0,0.0,2208,21
1375.0,0.0,2208,21
988.0,0.0,2208,21
997.0,0.0,2208,21
1788.0,0.0,2208,21
997.0,0.0,2208,21
987.0,0.0,2208,21
989.0,0.0,2208,21
1101.0,0.0,2208,21
1201.0,0.0,2208,21
982.0,0.0,2208,21
1094.0,0.0,2208,21
1012.0,0.0,2208,21
1001.0,0.0,2208,21
1005.0,0.0,2208,21
1103.0,0.0,2208,21
1134.0,0.0,2208,21
1198.0,0.0,2208,21
1020.0,0.0,2208,21
1115.0,0.0,2208,21
1001.0,0.0,2208,21
999.0,0.0,2208,21
1421.0,0.0,2208,21
1025.0,0.0,2208,21
993.0,0.0,2208,21
987.0,0.0,2208,21
1105.0,0.0,2208,21
1016.0,0.0,2208,21
985.0,0.0,2208,21
1450.0,0.0,2208,21
1000.0,0.0,2208,21
1016.0,0.0,2208,21
1200.0,0.0,2208,21
1236.0,0.0,2208,21
1024.0,0.0,2208,21
973.0,0.0,2208,21
1095.0,0.0,2208,21
974.0,0.0,2208,21
1019.0,0.0,2208,21
997.0,0.0,2208,21
1148.0,0.0,2208,21
1266.0,0.0,2208,21
1012.0,0.0,2208,21
1185.0,0.0,2208,21
1014.0,0.0,2208,21
996.0,0.0,2208,21
1002.0,0.0,2208,21
1296.0,0.0,2208,21
1028.0,0.0,2208,21
988.0,0.0,2208,21
1091.0,0.0,2208,21
1012.0,0.0,2208,21
1082.0,0.0,2208,21
1123.0,0.0,2208,21
2293.0,0.0,2208,21
1022.0,0.0,2208,21
1024.0,0.0,2208,21
1095.0,0.0,2208,21
997.0,0.0,2208,21
1019.0,0.0,2208,21
998.0,0.0,2208,21
1027.0,0.0,2208,21
1005.0,0.0,2208,21
1013.0,0.0,2208,21
1141.0,0.0,2208,21
1281.0,0.0,2208,21
1223.0,0.0,2208,21
1003.0,0.0,2208,21
997.0,0.0,2208,21
998.0,0.0,2208,21
1038.0,0.0,2208,21
1013.0,0.0,2208,21
1009.0,0.0,2208,21
1499.0,0.0,2208,21
999.0,0.0,2208,21
1462.0,0.0,2208,21
1045.0,0.0,2208,21
1561.0,0.0,2208,21
1016.0,0.0,2208,21
1013.0,0.0,2208,21
1080.0,0.0,2208,21
1020.0,0.0,2208,21
1006.0,0.0,2208,21
1031.0,0.0,2208,21
1276.0,0.0,2208,21
1013.0,0.0,2208,21
1011.0,0.0,2208,21
1115.0,0.0,2208,21
1085.0,0.0,2208,21
1354.0,0.0,2208,21
1007.0,0.0,2208,21
1117.0,0.0,2208,21
1002.0,0.0,2208,21
1018.0,0.0,2208,21
1094.0,0.0,2208,21
1051.0,0.0,2208,21
1008.0,0.0,2208,21
1016.0,0.0,2208,21
1108.0,0.0,2208,21
1278.0,0.0,2208,21
1042.0,0.0,2208,21
1271.0,0.0,2208,21
999.0,0.0,2208,21
994.0,0.0,2208,21
1196.0,0.0,2208,21
1027.0,0.0,2208,21
1175.0,0.0,2208,21
1002.0,0.0,2208,21
1013.0,0.0,2208,21
1014.0,0.0,2208,21
1416.0,0.0,2208,21
1006.0,0.0,2208,21
1003.0,0.0,2208,21
1176.0,0.0,2208,21
1276.0,0.0,2208,21
1004.0,0.0,2208,21
1253.0,0.0,2208,21
997.0,0.0,2208,21
1235.0,0.0,2208,21
1071.0,0.0,2208,21
1016.0,0.0,2208,21
1472.0,0.0,2208,21
999.0,0.0,2208,21
1100.0,0.0,2208,21
1405.0,0.0,2208,21
1413.0,0.0,2208,21
1026.0,0.0,2208,21
1239.0,0.0,2208,21
1596.0,0.0,2208,21
1008.0,0.0,2208,21
988.0,0.0,2208,21
1119.0,0.0,2208,21
1149.0,0.0,2208,21
1007.0,0.0,2208,21
1154.0,0.0,2208,21
1206.0,0.0,2208,21
1698.0,0.0,2208,21
1313.0,0.0,2208,21
1119.0,0.0,2208,21
1474.0,0.0,2208,21
996.0,0.0,2208,21
1297.0,0.0,2208,21
1012.0,0.0,2208,21
1222.0,0.0,2208,21
1016.0,0.0,2208,21
1516.0,0.0,2208,21
1709.0,0.0,2208,21
1073.0,0.0,2208,21
1501.0,0.0,2208,21
1528.0,0.0,2208,21
1575.0,0.0,2208,21
1257.0,0.0,2208,21
1002.0,0.0,2208,21
